,Data,End_Data,type,start_type,year,month
0,1968-05-01,1968-12-01,HW_Transition,HW,1968,5
1,1968-12-01,1970-01-01,Falling,HW,1968,12
2,1970-01-01,1970-06-01,Rising,LW,1970,1
3,1970-06-01,1970-12-01,Falling,HW,1970,6
4,1970-12-01,1971-06-01,Rising,LW,1970,12
5,1971-06-01,1971-11-01,Falling,HW,1971,6
6,1971-11-01,1972-06-01,Rising,LW,1971,11
7,1972-06-01,1972-11-01,Falling,HW,1972,6
8,1972-11-01,1973-06-01,Rising,LW,1972,11
9,1973-06-01,1973-11-01,Falling,HW,1973,6
10,1973-11-01,1974-05-01,Rising,LW,1973,11
11,1974-05-01,1974-11-01,Falling,HW,1974,5
12,1974-11-01,1975-06-01,Rising,LW,1974,11
13,1975-06-01,1975-12-01,Falling,HW,1975,6
14,1975-12-01,1976-05-01,Rising,LW,1975,12
15,1976-05-01,1976-11-01,Falling,HW,1976,5
16,1976-11-01,1977-06-01,Rising,LW,1976,11
17,1977-06-01,1977-10-01,Falling,HW,1977,6
18,1977-10-01,1978-06-01,Rising,LW,1977,10
19,1978-06-01,1978-11-01,Falling,HW,1978,6
20,1978-11-01,1979-06-01,Rising,LW,1978,11
21,1979-06-01,1979-11-01,Falling,HW,1979,6
22,1979-11-01,1980-06-01,Rising,LW,1979,11
23,1980-06-01,1980-10-01,Falling,HW,1980,6
24,1980-10-01,1981-05-01,Rising,LW,1980,10
25,1981-05-01,1981-11-01,Falling,HW,1981,5
26,1981-11-01,1982-05-01,Rising,LW,1981,11
27,1982-05-01,1982-11-01,Falling,HW,1982,5
28,1982-11-01,1983-06-01,Rising,LW,1982,11
29,1983-06-01,1983-10-01,Falling,HW,1983,6
30,1983-10-01,1984-05-01,Rising,LW,1983,10
31,1984-05-01,1984-11-01,Falling,HW,1984,5
32,1984-11-01,1985-06-01,Rising,LW,1984,11
33,1985-06-01,1985-11-01,Falling,HW,1985,6
34,1985-11-01,1986-05-01,Rising,LW,1985,11
35,1986-05-01,1986-10-01,Falling,HW,1986,5
36,1986-10-01,1987-05-01,Rising,LW,1986,10
37,1987-05-01,1987-11-01,Falling,HW,1987,5
38,1987-11-01,1988-06-01,Rising,LW,1987,11
39,1988-06-01,1988-10-01,Falling,HW,1988,6
40,1988-10-01,1989-06-01,Rising,LW,1988,10
41,1989-06-01,1990-01-01,Falling,HW,1989,6
42,1990-01-01,1990-05-01,Rising,LW,1990,1
43,1990-05-01,1990-11-01,Falling,HW,1990,5
44,1990-11-01,1991-06-01,Rising,LW,1990,11
45,1991-06-01,1991-11-01,Falling,HW,1991,6
46,1991-11-01,1992-05-01,Rising,LW,1991,11
47,1992-05-01,1992-11-01,Falling,HW,1992,5
48,1992-11-01,1993-05-01,Rising,LW,1992,11
49,1993-05-01,1993-11-01,Falling,HW,1993,5
50,1993-11-01,1994-06-01,Rising,LW,1993,11
