Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:17050001


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;DataLiq;HoraLiq;NumMedicaoLiq;Cota;Vazao;AreaMolhada;Largura;VelMedia;ConcentracaoMatSuspensao;CotaDeMedicao;TemperaturaDaAgua;ConcentracaoDaAmostraExtra;CondutividadeEletrica;Observacoes
17050001;1;04/05/2001;01/01/1900 15:40;11;04/05/2001;01/01/1900 15:40;;728;;;;;"92,03";;;;;
17050001;1;19/11/2000;01/01/1900 10:35;10;19/11/2000;01/01/1900 10:35;;;;;;;"38,34";;;;;
17050001;1;01/09/2000;01/01/1900 10:35;9;01/09/2000;01/01/1900 10:35;;598;;;;;"28,43";;;;;
17050001;1;09/06/2000;01/01/1900 07:00;8;09/06/2000;01/01/1900 07:00;8;751;"0,0";"0,0";"0,0";"0,0";"24,69";;;;;
17050001;1;15/02/2000;01/01/1900 07:00;7;15/02/2000;01/01/1900 07:00;7;428;"0,0";"0,0";"2417,0";"0,0";"80,21";;;;;
17050001;1;18/11/1999;01/01/1900 07:00;6;18/11/1999;01/01/1900 07:00;6;88;"0,0";"0,0";"0,0";"0,0";"10,6";;;;;
17050001;1;15/08/1999;01/01/1900 07:00;5;15/08/1999;01/01/1900 07:00;5;674;"0,0";"0,0";"0,0";"0,0";"31,68";;;;;
17050001;1;15/05/1999;01/01/1900 07:00;4;15/05/1999;01/01/1900 07:00;4;751;"0,0";"0,0";"0,0";"0,0";"26,4";;;;;
17050001;1;14/02/1999;01/01/1900 07:00;4;14/02/1999;01/01/1900 07:00;3;0;"0,0";"0,0";"0,0";"0,0";"117,33";;;;;
17050001;1;22/11/1998;01/01/1900 07:00;3;22/11/1998;01/01/1900 07:00;2;0;"0,0";"0,0";"0,0";"0,0";"69,43";;;;;
17050001;1;21/08/1998;01/01/1900 07:00;2;21/08/1998;01/01/1900 07:00;1;0;"0,0";"0,0";"0,0";"0,0";"7,09";;;;;
17050001;1;24/05/1998;01/01/1900 07:00;8;24/05/1998;01/01/1900 07:00;8;627;"0,0";"0,0";"0,0";"0,0";"58,17";;;;;
17050001;1;22/02/1998;01/01/1900 07:00;7;22/02/1998;01/01/1900 07:00;7;331;"0,0";"0,0";"0,0";"0,0";"172,44";;;;;
17050001;1;12/12/1997;01/01/1900 07:00;5;12/12/1997;01/01/1900 07:00;5;88;"0,0";"0,0";"0,0";"0,0";"199,95";;;;;
17050001;1;18/09/1997;01/01/1900 07:00;1;18/09/1997;01/01/1900 07:00;1;266;"0,0";"0,0";"0,0";"0,0";"46,72";;;;;
