,CHLOROPHYLL,CHLOROPHYLL_A,CHLOROPHYLL_B,CLOUD_COVER,DEPTH_CLASS,DOC,ID,LATITUDE,LOCATION,LONGITUDE,MISSION,N_TOTAL,N_TOTAL_DISSOLVED,POC,P_ORGANIC,P_TOTAL,SAMPLE_SITE,SAMPLING_DEPTH,SILICA,SPM,TOC,TOTAL_DEPTH,TURBIDITY,WATER_PERIOD,blue_max,blue_mean,blue_median,blue_min,blue_stdDev,count_pixel,datetime,dif_date_point,green_max,green_mean,green_median,green_min,green_stdDev,img_date,nir_max,nir_mean,nir_median,nir_min,nir_stdDev,red_max,red_mean,red_median,red_min,red_stdDev,system_index,dif_date_point_abs,satellite,duplicated
2,0.6993333333333335,2.1440399999999995,1.9471400000000005,51.0,1,2.854,3,-2.19696,LG,-55.29953,I,0.3364,0.279,3.771,0.02585875999999999,0.066088,3,0.2,2.43,34.40000000000004,6.625,4.63,39.800000000000004,R,0.0169533274522937,0.0148648170275174,0.0150817292162863,0.0058618800681916,0.0034242016992927,7,2013-03-09 11:20:00,7.104248935185185,0.0282298735264832,0.0254260332061406,0.0250727929304829,0.0163720581039285,0.0035325996068963,2013-03-16T13:50:07,0.0204646732343082,0.0174374354281389,0.0174040659894607,0.0153009702056953,0.0016147305539198,0.0364057391730765,0.0330515220246929,0.0336428743828886,0.0193693136063306,0.0052173230552294,3_1_BOA_LE07_228061_20130316,7.104248935185185,LD7,False
4,0.8273333333333333,10.23478,8.205020000000001,51.0,1,1.017,4,-2.221738,LG,-55.270194,I,0.376,0.04269,6.223000000000001,0.06377527999999999,0.113632,4,0.2,2.45,44.39999999999999,7.24,5.44,51.27333333333333,R,0.0180096949913319,0.0175259135418737,0.0175142053415686,0.0169503746554334,0.0003570648825405,9,2013-03-09 13:00:00,7.034804490740741,0.0294504741598736,0.0291245976938197,0.0291062016547816,0.028587739454074,0.0002412006215753,2013-03-16T13:50:07,0.0132041708646091,0.0128972644980575,0.0129700106498093,0.0118428202936215,0.0004524288563907,0.0349670672636217,0.0347281860037289,0.0347754829029621,0.0340422058957948,0.0002745706034882,4_1_BOA_LE07_228061_20130316,7.034804490740741,LD7,False
12,1.21,44.09388,19.88334,51.0,1,1.39,8,-2.20957,LG,-55.34711,I,0.3736,0.09461,5.89,0.04609018,0.105741,5,0.2,2.3,44.8,7.28,1.8,58.5,R,0.0145968284905294,0.0131580467435693,0.0129902587718483,0.0121204081062088,0.0008028151382721,9,2013-03-09 14:35:00,6.9688322685185184,0.0195139341546509,0.0176789763596594,0.0170787841251194,0.0164224089925092,0.0011186810625263,2013-03-16T13:50:07,0.0107555328801278,0.009508298277751,0.0093537850728876,0.0090252131007526,0.0005205290486895,0.0243931905621709,0.0213702048252087,0.0214599844415996,0.0203499045052254,0.0012949851732684,8_1_BOA_LE07_228061_20130316,6.9688322685185184,LD7,False
14,0.4788235294117647,5.2461400000000005,4.278520000000001,51.0,1,3.665,16,-2.262023,PQ,-55.456187,I,0.3896,0.207,2.7039999999999997,0.0669758,0.081673,13,0.2,1.97,45.20000000000002,6.369,4.5,47.19999999999999,R,0.0321043983668717,0.0315998266349608,0.0316268896813754,0.0308626751174783,0.0003739683733976,9,2013-03-11 08:00:00,5.243137824074074,0.0400282647504718,0.0389867571112528,0.0391652796092665,0.0370172386035124,0.0009964927372309,2013-03-16T13:50:07,0.0213821766673319,0.0203538056523385,0.0203428214726954,0.0190839457450509,0.0006430855929613,0.0445510635276601,0.0435020279391261,0.0433522737571138,0.042319788071334,0.0007321727278742,16_1_BOA_LE07_228061_20130316,5.243137824074074,LD7,False
22,0.7635714285714287,4.81448,"< 0,01",73.0,1,3.381,20,-2.175347,GP,-55.490867,I,0.3632,0.2109,"< 0,001",0.0827775,0.097455,14,0.2,2.02,39.599999999999966,3.133,2.0,47.35714285714287,R,0.0194531348295124,0.0190968999279862,0.0192971913130688,0.0189099700747694,0.0001771224788847,6,2013-03-11 11:20:00,5.10452582175926,0.0263542924727056,0.0246137354461271,0.0251938871155868,0.0232887013047798,0.0011967169905569,2013-03-16T13:50:31,0.0138634657685365,0.0128805793368667,0.0131200826993074,0.0123612750153974,0.0005346515585231,0.0291383558344952,0.0276108784090924,0.0275871814849219,0.0267402051178735,0.0008956948637911,20_1_BOA_LE07_228062_20130316,5.10452582175926,LD7,False
23,0.6329999999999999,4.23382,"< 0,01",51.0,1,3.98,21,-2.133265,GP,-55.488798,I,0.4277,0.2430999999999999,2.9120000000000004,0.0850073,0.100612,15,0.2,2.15,39.20000000000001,6.892,4.6,44.599999999999994,R,0.0233270514827356,0.0218678928981235,0.0219471248245405,0.0200012310208593,0.0008590492670889,9,2013-03-11 13:00:00,5.034804490740741,0.0350063986954857,0.032933319703009,0.0331013658070431,0.0288687597574029,0.0016758360204505,2013-03-16T13:50:07,0.0152561156079932,0.0140984196017964,0.0142533779136633,0.0129303302781782,0.0006224240416752,0.0408593319343288,0.0389715936316529,0.0397568746276234,0.0342445334117444,0.0019151726780304,21_1_BOA_LE07_228061_20130316,5.034804490740741,LD7,False
27,1.074375,12.625559999999998,0.043840000000001725,51.0,1,3.504,27,-2.078954,SN,-55.526776,I,0.3786,0.238,2.98,0.1251926,0.141251,18,0.2,2.12,36.8,6.484,4.5,42.925,R,0.0201130414908407,0.0188584717858622,0.0193629513664505,0.0159979997663037,0.0013343160780058,9,2013-03-11 16:30:00,4.888971157407408,0.0311711633341236,0.0260441469477535,0.0267423520076086,0.0203059694643829,0.0034175651471096,2013-03-16T13:50:07,0.0149598782317521,0.0130271592992181,0.0137071992954681,0.010461450018472,0.0014420153871628,0.0352263274038538,0.030501889544275,0.0313440635829534,0.0241322576028461,0.003590685978641,27_1_BOA_LE07_228061_20130316,4.888971157407408,LD7,False
28,0.5223529411764707,5.01372,"< 0,01",51.0,1,4.37,29,-2.151079,PC,-55.565754,I,0.4128,0.2928,2.7009999999999996,0.0799566,0.086013,20,0.2,2.44,41.20000000000002,7.071,5.2,45.32941176470588,R,0.0252512804402837,0.0243011033665243,0.0242643522794572,0.0234191072117588,0.000569709091946,9,2013-03-12 08:30:00,4.222304490740741,0.0341423132460168,0.0332612846902194,0.0331523786424123,0.0325173720710782,0.0005026817832018,2013-03-16T13:50:07,0.0163961257687277,0.0158458299646936,0.0160176698100671,0.0151413942374049,0.0004685248455936,0.0401447268487748,0.0392202750553899,0.0393102357866035,0.037813875640978,0.0007443893686986,29_1_BOA_LE07_228061_20130316,4.222304490740741,LD7,False
30,0.6505555555555558,14.398620000000001,"< 0,01",51.0,1,1.719,30,-2.173808,PD,-55.59809,I,0.4462,0.1722,4.867999999999999,0.059079099999999996,0.105741,21,0.2,2.38,45.19999999999996,6.587,5.0,48.08888888888888,R,0.0206787612820848,0.0193491822173109,0.0191637012599157,0.0186629233983011,0.0005673541892852,9,2013-03-12 10:15:00,4.149387824074074,0.0251263487774032,0.0237663803070073,0.0238882663636076,0.0224662688984615,0.0007349745290186,2013-03-16T13:50:07,0.0166607305028614,0.0155876115599241,0.0153473351528766,0.0149263058815298,0.0005547643203133,0.0270660943242324,0.0258654943660217,0.0260222177608742,0.024275165651839,0.0008406965866812,30_1_BOA_LE07_228061_20130316,4.149387824074074,LD7,False
38,0.8205,0.5277800000000001,2.1738,51.0,1,1.648,34,-2.142593,PC,-55.625756,I,0.3387,0.1222,4.268000000000001,0.0812591,0.086408,22,0.2,2.71,37.599999999999966,5.916,5.0,39.11999999999999,R,0.0274242013778194,0.0266529502704102,0.0267202838925231,0.0261654170030005,0.000345099663555,9,2013-03-12 11:15:00,4.107721157407408,0.035678216485515,0.0348131885533047,0.0347142810483954,0.0346044932778396,0.0003506236880453,2013-03-16T13:50:07,0.0179788032907942,0.0172552735253941,0.0171508346041257,0.0161131563527008,0.0005837027902274,0.0399430698326371,0.0392459470725076,0.0392097673541943,0.0389726505262245,0.0003374211667722,34_1_BOA_LE07_228061_20130316,4.107721157407408,LD7,False
