,mean_loc_chirps,mean_reg_chirps,time_finish,time_start,water_period
0,687.4990303640516,580.9449814756247,1984-03-08,1983-11-23,R
1,1228.1366571717174,974.7195423513708,1984-06-16,1984-03-08,HW
2,330.73862915901447,536.0042405594949,1984-09-16,1984-06-16,F
3,276.58219976918144,408.40076489919477,1984-12-24,1984-09-16,LW
4,1082.9390163052624,753.8684853324738,1985-04-09,1984-12-24,R
5,578.6345864837322,693.334073351983,1985-07-09,1985-04-09,HW
6,125.4308027954217,350.42461740407543,1985-09-23,1985-07-09,F
7,411.5075007853583,404.13512435148533,1985-12-16,1985-09-23,LW
8,912.2810887688516,717.8361517442783,1986-03-16,1985-12-16,R
9,781.8251134822032,714.3831781529532,1986-06-08,1986-03-16,HW
10,102.24748103229544,329.7839569653297,1986-08-23,1986-06-08,F
11,169.50533214867326,333.563569921969,1986-11-23,1986-08-23,LW
12,626.0838002442297,590.9323700226031,1987-03-09,1986-11-23,R
13,887.4989492460719,808.3201768585367,1987-06-16,1987-03-09,HW
14,190.9102493385106,323.43023318667537,1987-09-16,1987-06-16,F
15,146.97776815408722,250.83008911017717,1987-12-24,1987-09-16,LW
16,944.8562431763025,802.9774766387592,1988-04-08,1987-12-24,R
17,1019.9699643421495,893.1741411515237,1988-07-01,1988-04-08,HW
18,178.36105474161405,295.32522388486535,1988-08-31,1988-07-01,F
19,247.50212371406766,368.95442968831236,1988-11-30,1988-08-31,LW
20,1260.5653135398925,1134.9560041036923,1989-04-01,1988-11-30,R
21,873.8377389763502,1107.035498754317,1989-07-24,1989-04-01,HW
22,232.73910516574963,373.405078030977,1989-11-08,1989-07-24,F
23,424.26371537884353,488.1634026863976,1990-01-31,1989-11-08,LW
24,637.7993680099855,600.9998734140298,1990-04-01,1990-01-31,R
25,508.07353033591653,682.67855313074,1990-06-16,1990-04-01,HW
26,234.2211763329515,356.75979044794724,1990-09-16,1990-06-16,F
27,251.83872588290043,307.1697555911795,1990-12-24,1990-09-16,LW
28,1089.1775796142272,941.8543429616061,1991-04-09,1990-12-24,R
29,804.2039752722898,816.1714802803871,1991-07-09,1991-04-09,HW
30,111.91914224606596,206.8832361818841,1991-09-23,1991-07-09,F
31,77.92163198583732,147.52961205553473,1991-12-16,1991-09-23,LW
32,361.0570557550608,526.9551228928809,1992-03-16,1991-12-16,R
33,565.6060199632634,580.1845377819966,1992-06-16,1992-03-16,HW
34,106.05769972442711,261.947503410996,1992-09-16,1992-06-16,F
