,water_period,time_start,time_finish,mean_discharge
0,R,1984-12-24 00:00:00,1985-04-09 00:00:00,169528.4064747475
1,HW,1985-04-09 00:00:00,1985-07-09 06:00:00,191042.1401086957
2,F,1985-07-09 06:00:00,1985-09-23 18:00:00,168948.84144736844
3,LW,1985-09-23 18:00:00,1985-12-16 06:00:00,119047.93019047617
4,R,1985-12-16 06:00:00,1986-03-16 18:00:00,156512.75049999997
5,HW,1986-03-16 18:00:00,1986-06-08 06:00:00,209541.61785714288
6,F,1986-06-08 06:00:00,1986-08-23 18:00:00,211907.34
7,LW,1986-08-23 18:00:00,1986-11-23 00:00:00,146186.29601086956
8,R,1986-11-23 00:00:00,1987-03-09 00:00:00,158009.5498130841
9,HW,1987-03-09 00:00:00,1987-06-16 00:00:00,206814.66490000003
10,F,1987-06-16 00:00:00,1987-09-16 00:00:00,177037.43752688172
11,LW,1987-09-16 00:00:00,1987-12-24 06:00:00,100928.88269000001
12,R,1987-12-24 06:00:00,1988-04-08 18:00:00,160368.2942264151
13,HW,1988-04-08 18:00:00,1988-07-01 12:00:00,208791.54773809522
14,F,1988-07-01 12:00:00,1988-08-31 12:00:00,193727.0972131148
15,LW,1988-08-31 12:00:00,1988-11-30 18:00:00,108754.31423076922
16,R,1988-11-30 18:00:00,1989-04-01 06:00:00,162111.2844508197
17,HW,1989-04-01 06:00:00,1989-07-24 12:00:00,235162.85973684213
18,F,1989-07-24 12:00:00,1989-11-08 12:00:00,174834.0194579439
19,LW,1989-11-08 12:00:00,1990-01-31 00:00:00,125269.83864285715
20,R,1990-01-31 00:00:00,1990-04-01 00:00:00,170633.40237704918
21,HW,1990-04-01 00:00:00,1990-06-16 00:00:00,211205.81558441557
22,F,1990-06-16 00:00:00,1990-09-16 00:00:00,193947.48268817205
23,LW,1990-09-16 00:00:00,1990-12-24 00:00:00,105842.16502
24,R,1990-12-24 00:00:00,1991-04-09 00:00:00,166458.51476635513
25,HW,1991-04-09 00:00:00,1991-07-09 06:00:00,214522.3638043478
26,F,1991-07-09 06:00:00,1991-09-23 18:00:00,187830.47236842103
27,LW,1991-09-23 18:00:00,1991-12-16 12:00:00,96633.69046428571
28,R,1991-12-16 12:00:00,1992-03-16 12:00:00,116350.16203296704
29,HW,1992-03-16 12:00:00,1992-06-16 00:00:00,179372.15380434782
30,F,1992-06-16 00:00:00,1992-09-16 00:00:00,145260.90733333334
31,LW,1992-09-16 00:00:00,1992-12-16 06:00:00,101154.2198804348
32,R,1992-12-16 06:00:00,1993-03-16 18:00:00,156569.65435555554
33,HW,1993-03-16 18:00:00,1993-06-16 00:00:00,217075.35260869566
34,F,1993-06-16 00:00:00,1993-09-16 00:00:00,195011.91623655916
35,LW,1993-09-16 00:00:00,1993-12-24 00:00:00,123208.41187999999
36,R,1993-12-24 00:00:00,1994-04-09 00:00:00,190772.91373831776
37,HW,1994-04-09 00:00:00,1994-07-09 06:00:00,228979.8875
38,F,1994-07-09 06:00:00,1994-09-23 18:00:00,202009.04631578946
39,LW,1994-09-23 18:00:00,1994-12-24 00:00:00,124575.42392391303
40,R,1994-12-24 00:00:00,1995-04-09 00:00:00,152476.3165140187
41,HW,1995-04-09 00:00:00,1995-07-01 12:00:00,202899.1894047619
42,F,1995-07-01 12:00:00,1995-08-31 12:00:00,184345.51934426225
43,LW,1995-08-31 12:00:00,1995-11-23 06:00:00,88963.84914285714
44,R,1995-11-23 06:00:00,1996-03-08 18:00:00,137044.89158490568
45,HW,1996-03-08 18:00:00,1996-06-16 00:00:00,216829.0578
46,F,1996-06-16 00:00:00,1996-09-16 00:00:00,199925.8369892473
47,LW,1996-09-16 00:00:00,1996-12-16 06:00:00,116592.82954347823
48,R,1996-12-16 06:00:00,1997-03-16 18:00:00,150042.02759999997
49,HW,1997-03-16 18:00:00,1997-06-16 00:00:00,224371.08760869564
50,F,1997-06-16 00:00:00,1997-09-16 00:00:00,190923.81870967743
51,LW,1997-09-16 00:00:00,1997-12-24 00:00:00,83465.56137000001
52,R,1997-12-24 00:00:00,1998-04-09 00:00:00,133506.58284112148
53,HW,1998-04-09 00:00:00,1998-07-01 12:00:00,192211.94666666663
54,F,1998-07-01 12:00:00,1998-08-31 12:00:00,186235.60983606556
55,LW,1998-08-31 12:00:00,1998-11-30 18:00:00,98797.58156043956
56,R,1998-11-30 18:00:00,1999-04-01 06:00:00,152406.34986065573
57,HW,1999-04-01 06:00:00,1999-07-09 06:00:00,229438.00464646466
58,F,1999-07-09 06:00:00,1999-09-23 18:00:00,205197.5332894737
59,LW,1999-09-23 18:00:00,1999-12-24 06:00:00,107105.70141304347
60,R,1999-12-24 06:00:00,2000-04-08 18:00:00,153906.6646037736
61,HW,2000-04-08 18:00:00,2000-07-16 18:00:00,223151.33696969697
