,year,class_name,watershed,area_km2
0,1985,Anthropic,Local Watershed,48.89779975640928
1,1985,Anthropic,Regional Watershed,1637.2688073846273
2,1985,Natural,Local Watershed,1838.0006815653292
3,1985,Natural,Regional Watershed,305485.4746074757
4,1986,Anthropic,Local Watershed,49.87707703699259
5,1986,Anthropic,Regional Watershed,1567.0678618006457
6,1986,Natural,Local Watershed,1865.9027929113595
7,1986,Natural,Regional Watershed,305474.7229548575
8,1987,Anthropic,Local Watershed,91.98152777923393
9,1987,Anthropic,Regional Watershed,1769.63736449485
10,1987,Natural,Local Watershed,1809.6351550263335
11,1987,Natural,Regional Watershed,304938.2022414817
12,1988,Anthropic,Local Watershed,93.98419634021784
13,1988,Anthropic,Regional Watershed,1819.2271341188068
14,1988,Natural,Local Watershed,1759.5789798445767
15,1988,Natural,Regional Watershed,304585.40638701007
16,1989,Anthropic,Local Watershed,69.07133034756455
17,1989,Anthropic,Regional Watershed,1736.9778016003836
18,1989,Natural,Local Watershed,1691.7605305189823
19,1989,Natural,Regional Watershed,304367.35363671824
20,1990,Anthropic,Local Watershed,69.8748712639179
21,1990,Anthropic,Regional Watershed,1709.7248160460033
22,1990,Natural,Local Watershed,1691.5570553149555
23,1990,Natural,Regional Watershed,304125.6397110132
24,1991,Anthropic,Local Watershed,81.8951592810555
25,1991,Anthropic,Regional Watershed,1704.489303152995
26,1991,Natural,Local Watershed,1700.1484038461754
27,1991,Natural,Regional Watershed,303926.35201578785
28,1992,Anthropic,Local Watershed,123.40737434880305
29,1992,Anthropic,Regional Watershed,1925.3623024176925
30,1992,Natural,Local Watershed,1750.0706503480558
31,1992,Natural,Regional Watershed,304122.9114121193
32,1993,Anthropic,Local Watershed,152.38432948164512
33,1993,Anthropic,Regional Watershed,2086.2335455492403
34,1993,Natural,Local Watershed,1598.2058671145326
35,1993,Natural,Regional Watershed,303576.25207904406
36,1994,Anthropic,Local Watershed,160.9196186754328
37,1994,Anthropic,Regional Watershed,2189.76737614852
38,1994,Natural,Local Watershed,1658.0101591578098
39,1994,Natural,Regional Watershed,303267.0812973179
40,1995,Anthropic,Local Watershed,168.5598521550713
41,1995,Anthropic,Regional Watershed,2249.7151413074553
42,1995,Natural,Local Watershed,1707.3068129927476
43,1995,Natural,Regional Watershed,303247.26649047656
44,1996,Anthropic,Local Watershed,179.69730382988132
45,1996,Anthropic,Regional Watershed,2445.082683013992
46,1996,Natural,Local Watershed,1663.873690096145
47,1996,Natural,Regional Watershed,302939.20085430896
48,1997,Anthropic,Local Watershed,181.81142310819877
49,1997,Anthropic,Regional Watershed,2904.1655895876643
50,1997,Natural,Local Watershed,1638.7195632734781
51,1997,Natural,Regional Watershed,303245.9310649883
52,1998,Anthropic,Local Watershed,180.9847606482477
53,1998,Anthropic,Regional Watershed,3366.9990368322374
54,1998,Natural,Local Watershed,1671.4650176844168
55,1998,Natural,Regional Watershed,303177.3017494903
56,1999,Anthropic,Local Watershed,178.16125021606084
57,1999,Anthropic,Regional Watershed,3531.7938141316563
58,1999,Natural,Local Watershed,1586.9505865097058
59,1999,Natural,Regional Watershed,301213.5308673623
60,2000,Anthropic,Local Watershed,182.2376924935526
61,2000,Anthropic,Regional Watershed,3555.6779665629656
62,2000,Natural,Local Watershed,1674.7296824116697
63,2000,Natural,Regional Watershed,302028.0448936555
64,2001,Anthropic,Local Watershed,184.93173960448843
65,2001,Anthropic,Regional Watershed,3569.72174034332
66,2001,Natural,Local Watershed,1691.5023548585264
67,2001,Natural,Regional Watershed,302020.94387794513
68,2002,Anthropic,Local Watershed,181.07005275122427
69,2002,Anthropic,Regional Watershed,3498.139206723977
70,2002,Natural,Local Watershed,1671.4342046668846
71,2002,Natural,Regional Watershed,301948.0362672486
72,2003,Anthropic,Local Watershed,159.12547532537604
73,2003,Anthropic,Regional Watershed,3573.2502470352188
74,2003,Natural,Local Watershed,1708.5312593988115
75,2003,Natural,Regional Watershed,302387.63220757816
76,2004,Anthropic,Local Watershed,165.56325703991192
77,2004,Anthropic,Regional Watershed,3708.539027168704
78,2004,Natural,Local Watershed,1716.4596002533958
79,2004,Natural,Regional Watershed,302627.46702780464
80,2005,Anthropic,Local Watershed,176.47407226838456
81,2005,Anthropic,Regional Watershed,3902.499803545588
82,2005,Natural,Local Watershed,1632.9113137337617
83,2005,Natural,Regional Watershed,302076.1357855465
84,2006,Anthropic,Local Watershed,182.36306931066326
85,2006,Anthropic,Regional Watershed,4023.1268622099738
86,2006,Natural,Local Watershed,1585.55783755338
87,2006,Natural,Regional Watershed,301691.3430215782
88,2007,Anthropic,Local Watershed,186.10605872261
89,2007,Anthropic,Regional Watershed,3997.0573367953357
90,2007,Natural,Local Watershed,1543.0881837903187
91,2007,Natural,Regional Watershed,301225.83958236495
92,2008,Anthropic,Local Watershed,183.350470475919
93,2008,Anthropic,Regional Watershed,4041.4748962794606
94,2008,Natural,Local Watershed,1519.3375589694058
95,2008,Natural,Regional Watershed,300793.81569328194
96,2009,Anthropic,Local Watershed,187.34821668158514
97,2009,Anthropic,Regional Watershed,4231.882939493901
98,2009,Natural,Local Watershed,1471.528455106702
99,2009,Natural,Regional Watershed,300446.6957431137
100,2010,Anthropic,Local Watershed,183.19503493393483
101,2010,Anthropic,Regional Watershed,4280.458667335962
102,2010,Natural,Local Watershed,1569.7390006698708
103,2010,Natural,Regional Watershed,301202.25349911
104,2011,Anthropic,Local Watershed,174.5874835188852
105,2011,Anthropic,Regional Watershed,4208.065271058273
106,2011,Natural,Local Watershed,1567.0379514785377
107,2011,Natural,Regional Watershed,301027.3585552806
108,2012,Anthropic,Local Watershed,174.07277466461045
109,2012,Anthropic,Regional Watershed,4089.8087787305117
110,2012,Natural,Local Watershed,1532.2640844522596
111,2012,Natural,Regional Watershed,300559.4885925508
112,2013,Anthropic,Local Watershed,181.15282094302998
113,2013,Anthropic,Regional Watershed,4224.883838902001
114,2013,Natural,Local Watershed,1538.51449106108
115,2013,Natural,Regional Watershed,300491.96754196857
116,2014,Anthropic,Local Watershed,186.9202394168476
117,2014,Anthropic,Regional Watershed,4314.024799519962
118,2014,Natural,Local Watershed,1464.212168872234
119,2014,Natural,Regional Watershed,300201.02333985886
120,2015,Anthropic,Local Watershed,197.73102540128008
121,2015,Anthropic,Regional Watershed,4448.572445890044
122,2015,Natural,Local Watershed,1526.3494596576022
123,2015,Natural,Regional Watershed,300602.7100932934
124,2016,Anthropic,Local Watershed,211.346449634342
125,2016,Anthropic,Regional Watershed,4618.3177797982835
126,2016,Natural,Local Watershed,1575.1868797662785
127,2016,Natural,Regional Watershed,301163.94093194406
128,2017,Anthropic,Local Watershed,219.27917040311038
129,2017,Anthropic,Regional Watershed,4630.383093401797
130,2017,Natural,Local Watershed,1521.0721314362222
131,2017,Natural,Regional Watershed,300686.8509340001
132,2018,Anthropic,Local Watershed,221.8293284103765
133,2018,Anthropic,Regional Watershed,4472.757686463789
134,2018,Natural,Local Watershed,1548.6928571787525
135,2018,Natural,Regional Watershed,301058.27497312025
136,2019,Anthropic,Local Watershed,214.5031492517284
137,2019,Anthropic,Regional Watershed,4378.153202525523
138,2019,Natural,Local Watershed,1514.696563246411
139,2019,Natural,Regional Watershed,300746.97278189193
140,2020,Anthropic,Local Watershed,202.9056439165413
141,2020,Anthropic,Regional Watershed,4429.894523115251
142,2020,Natural,Local Watershed,1559.9412489859837
143,2020,Natural,Regional Watershed,300860.5093024816
144,2021,Anthropic,Local Watershed,196.5952293919595
145,2021,Anthropic,Regional Watershed,4345.204543354922
146,2021,Natural,Local Watershed,1521.1524535739227
147,2021,Natural,Regional Watershed,300286.71504072053
148,2022,Anthropic,Local Watershed,195.54185314466778
149,2022,Anthropic,Regional Watershed,4590.429873182321
150,2022,Natural,Local Watershed,1451.5980981281593
151,2022,Natural,Regional Watershed,299167.94503790303
152,2023,Anthropic,Local Watershed,199.57046044111289
153,2023,Anthropic,Regional Watershed,4927.797117935509
154,2023,Natural,Local Watershed,1626.9065670491184
155,2023,Natural,Regional Watershed,298928.8448873142
156,2024,Anthropic,Local Watershed,224.67815086609056
157,2024,Anthropic,Regional Watershed,5247.887400537525
158,2024,Natural,Local Watershed,1674.6484896529107
159,2024,Natural,Regional Watershed,299740.7742359948
