,Model,Group,Feature,Params,r2,mae,mse,mape,exp_var
0,KRR,multi_band,nir_red,"{'alpha': 0.001, 'degree': 2, 'gamma': 100.0, 'kernel': 'poly'}",0.697487189277884,20.376511023488654,1132.0093088117706,0.4244982444855835,0.7054098588954402
1,KRR,multi_band,nir_red_green,"{'alpha': 1.5, 'degree': 2, 'gamma': 100.0, 'kernel': 'laplacian'}",0.5930706626740965,21.168171062453652,1651.4966132379955,0.3864430674584288,0.6271157365157121
2,KRR,multi_band,all_bands,"{'alpha': 1.5, 'degree': 2, 'gamma': 100.0, 'kernel': 'laplacian'}",0.5347052676045699,21.730867731740172,1963.5557374227872,0.355595492517358,0.5900858200120689
3,KRR,multi_band,location,"{'alpha': 1.5, 'degree': 2, 'gamma': 100.0, 'kernel': 'chi2'}",0.475500211283017,25.17929645817153,2096.2534800379217,0.42476551224832876,0.5310303075768787
4,KRR,multi_band,period,"{'alpha': 0.001, 'degree': 2, 'gamma': 10.0, 'kernel': 'rbf'}",0.6837907540063621,18.59688057809388,1147.1562164324955,0.3280012350523771,0.6824702105638863
5,KRR,multi_band,period_location,"{'alpha': 0.1, 'degree': 2, 'gamma': 100.0, 'kernel': 'chi2'}",0.5433711205058833,23.061311487223882,1681.6614981315313,0.38799549137730927,0.5889306346219476
6,RF,multi_band,nir_red,"{'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 300, 'oob_score': False, 'warm_start': True}",0.6746195236593236,21.51624361047107,1215.8214562063888,0.4622265701059828,0.683534898785995
7,RF,multi_band,nir_red_green,"{'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100, 'oob_score': False, 'warm_start': True}",0.6566933182935415,21.162913205965175,1327.2610088917354,0.4375472733672828,0.6659812718425513
8,RF,multi_band,all_bands,"{'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 300, 'oob_score': False, 'warm_start': True}",0.6886980562262593,20.1210841963219,1214.5450344863077,0.43209563133279083,0.6970110880993147
9,RF,multi_band,location,"{'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 300, 'oob_score': False, 'warm_start': True}",0.6790687042635206,20.603685786396994,1260.5243045656669,0.4575356059900474,0.687416053163018
10,RF,multi_band,period,"{'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 300, 'oob_score': False, 'warm_start': True}",0.7159213946608242,18.079140755888382,1132.3620800896383,0.36050062152724094,0.7205238144044656
11,RF,multi_band,period_location,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 300, 'oob_score': False, 'warm_start': True}",0.7180250822563112,18.383427252730844,1108.6735104237487,0.3791087794932372,0.7225668390813569
