,Model,Group,Feature,r2,mae,mse,mape,exp_var,r2_std,mae_std,mse_std,mape_std,exp_var_std
0,ols,single_band,nir,0.6200099314509732,25.72133720396787,1312.868318319593,0.7284689515841364,0.6304309988248997,0.26968609551873557,4.269932902139692,447.22303831161173,0.1950543859999351,0.2608654386491038
1,ols,single_band,red,0.3996867635033658,36.59787924887202,2947.6451516784505,0.9996355507990963,0.36959948394318587,0.597782552733474,4.609035171974379,963.4501502117317,0.27242804610645854,0.4512814571330221
2,ols,single_band,nir_red_ratio,4.0073085570978835,50.28229465414646,8365.745488849423,4.181591766865111,3.594094164154754,10.942200044432525,8.699485357713373,7173.307086737401,4.433057129036451,9.719924318887832
3,ols,single_band,red_nir_ratio,1.5109165020763053,44.222759936746286,4453.02971568365,2.068805261709853,1.5173655362385383,4.3320291815573935,6.2282284719879515,2020.8988829939767,0.9558830187317834,4.266006641136934
4,ols,multi_band,nir_red,0.6181487186136719,25.87837196987042,1330.9652762048468,0.7452378022658698,0.6260534596499949,0.2761609533753262,4.4315408062995525,464.74798287160024,0.21716450583629582,0.2680678182730382
5,ols,multi_band,nir_red_green,0.6125473009714989,25.850626978913414,1344.6179013728245,0.7383798896429766,0.6218850736790771,0.2644295046915512,4.58972163429066,475.84744389565793,0.21294227252172243,0.2565999918299463
6,ols,multi_band,all_bands,0.6169792912393846,25.21131880491636,1304.6309371350508,0.6980963347327999,0.6281494420992748,0.23442487596923678,4.262585350927539,472.0222981594779,0.20941054122098504,0.22367799830027293
7,ols,multi_band,location,0.6190023286298778,24.72164547000767,1275.9429309896727,0.683882143276801,0.6315969706702262,0.21481428207498796,4.258031034123247,478.46963425435143,0.19555386903362112,0.20241944101613718
8,ols,multi_band,period,0.6114139698569688,24.79112886084702,1291.573711756043,0.6694194353199722,0.6202951770352189,0.23210952729850617,4.344184715000883,466.9156197111474,0.19634560041195717,0.2270763944203282
9,ols,multi_band,period_location,0.6199107913843849,24.37966911855394,1262.367065098248,0.6641024944798332,0.6306498213073756,0.21316945406778579,4.366143338649891,475.51843571716853,0.1839738859623269,0.2066808189082699
10,polynomial2,single_band,nir,0.6887488149193766,21.363015377802558,1114.5277851731178,0.6323024062000075,0.6968353059631468,0.13225292561268676,4.060373867239785,498.35397490770265,0.1760610159683832,0.12945906873687157
11,polynomial2,single_band,red,0.42681717306598843,34.97740932393721,2996.651910265665,0.7956888113048408,0.39758532516820655,0.760886113379034,5.037204757665375,984.8308976913488,0.13740972057073897,0.6235290980156527
12,polynomial2,single_band,nir_red_ratio,153.3205348488621,76.01143642355616,176656.41113749318,17.737145845262546,149.18998740959069,421.49820896246854,62.60574135674594,302913.65570155025,27.69770923609085,410.2553621472777
13,polynomial2,single_band,red_nir_ratio,14.188623838246281,47.19361046869604,14811.339566946492,2.2679813826594803,13.287708222702639,41.215150348986676,16.880688030446574,28166.578016759187,1.3798746710593912,38.52046072226586
14,polynomial2,multi_band,nir_red,0.6918902052408332,20.426359677374595,1162.2093010315907,0.4213897623107902,0.7002238119711245,0.11419110527840369,4.46134610896504,592.6936600598256,0.06633250309095236,0.1134974363489081
15,polynomial2,multi_band,nir_red_green,0.652849620140249,21.251293937333273,1297.4750864416474,0.44666931119566905,0.661934510612971,0.1602546905831741,4.868439332939358,717.0961067533697,0.07640240775542857,0.15786881113285314
16,polynomial2,multi_band,all_bands,0.663184273033206,21.07744531536422,1278.3282668254346,0.4834901988523345,0.6718942124141248,0.15472800315696789,4.7983107125021,721.3618814086651,0.08942422910856757,0.15496998991645272
