,Model,Group,Feature,r2,mae,mse,mape,exp_var,water_period
0,ols,single_band,nir,0.13177984079838423,11.461300127161786,309.9894635442493,0.26567073654312,0.13177984079838412,R
1,ols,single_band,red,0.12163999639025325,10.527414204705208,313.6097952022807,0.2393262854125799,0.12163999639025325,R
2,ols,single_band,green,0.0520548534804296,10.528645520029825,338.4544856792926,0.2437743563093822,0.052054853480429264,R
3,ols,single_band,blue,0.008203637609838554,11.143099812519758,354.11113075879365,0.26338960310474424,0.008203637609838332,R
4,ols,single_band,nir_red_ratio,0.018631313181904696,10.95817254131497,350.38803181627344,0.2576783540436188,0.018631313181904696,R
5,ols,single_band,red_nir_ratio,0.0009978237859630257,11.17810408527957,356.6838956709986,0.2705400453818152,0.0009978237859628036,R
6,ols,multi_band,nir_red,0.17633333108013038,11.082076943168005,294.08207829744435,0.2507869992544218,0.17633333108013027,R
7,ols,multi_band,all_bands,0.47183359731858143,10.56023229958482,188.57661630417044,0.24903637164139802,0.47183359731858143,R
8,ols,single_band,nir,0.13177984079838423,11.461300127161786,309.9894635442493,0.26567073654312,0.13177984079838412,R
9,ols,single_band,red,0.12163999639025325,10.527414204705208,313.6097952022807,0.2393262854125799,0.12163999639025325,R
10,ols,single_band,green,0.0520548534804296,10.528645520029825,338.4544856792926,0.2437743563093822,0.052054853480429264,R
11,ols,single_band,blue,0.008203637609838554,11.143099812519758,354.11113075879365,0.26338960310474424,0.008203637609838332,R
12,ols,single_band,nir_red_ratio,0.018631313181904696,10.95817254131497,350.38803181627344,0.2576783540436188,0.018631313181904696,R
13,ols,single_band,red_nir_ratio,0.0009978237859630257,11.17810408527957,356.6838956709986,0.2705400453818152,0.0009978237859628036,R
14,ols,multi_band,nir_red,0.17633333108013038,11.082076943168005,294.08207829744435,0.2507869992544218,0.17633333108013027,R
15,ols,multi_band,all_bands,0.47183359731858143,10.56023229958482,188.57661630417044,0.24903637164139802,0.47183359731858143,R
16,polynomial2,single_band,nir,0.1519087487661086,11.264804969468676,302.80263504629744,0.2654637078269302,0.1519087487661086,R
17,polynomial2,single_band,red,0.12377518569428314,10.478638975064882,312.8474468740291,0.23704630579327107,0.12377518569428314,R
18,polynomial2,single_band,green,0.06907696524182227,10.675151208797368,332.3769081923144,0.24310990575194905,0.06907696524182227,R
19,polynomial2,single_band,blue,0.045104133044400974,11.301105753385874,340.93617200778317,0.26033836264707594,0.045104133044401085,R
20,polynomial2,single_band,nir_red_ratio,0.0619808775676044,10.95747782888577,334.91049646261735,0.24864882004821579,0.06198087756760429,R
21,polynomial2,single_band,red_nir_ratio,0.020326036547308912,11.1606960393669,349.7829475167098,0.26418397577327857,0.020326036547308912,R
22,polynomial2,multi_band,nir_red,0.24999269245678857,10.997906390279674,267.7827282119093,0.25226420293435975,0.24999269245678857,R
23,polynomial2,multi_band,all_bands,0.7961615761741216,6.5607511247949555,72.77850321926938,0.17610551726746498,0.7961615761741216,R
24,ols,single_band,nir,0.13177984079838423,11.461300127161786,309.9894635442493,0.26567073654312,0.13177984079838412,R
25,ols,single_band,red,0.12163999639025325,10.527414204705208,313.6097952022807,0.2393262854125799,0.12163999639025325,R
26,ols,single_band,green,0.0520548534804296,10.528645520029825,338.4544856792926,0.2437743563093822,0.052054853480429264,R
27,ols,single_band,blue,0.008203637609838554,11.143099812519758,354.11113075879365,0.26338960310474424,0.008203637609838332,R
28,ols,single_band,nir_red_ratio,0.018631313181904696,10.95817254131497,350.38803181627344,0.2576783540436188,0.018631313181904696,R
29,ols,single_band,red_nir_ratio,0.0009978237859630257,11.17810408527957,356.6838956709986,0.2705400453818152,0.0009978237859628036,R
30,ols,multi_band,nir_red,0.17633333108013038,11.082076943168005,294.08207829744435,0.2507869992544218,0.17633333108013027,R
31,ols,multi_band,all_bands,0.47183359731858143,10.56023229958482,188.57661630417044,0.24903637164139802,0.47183359731858143,R
32,polynomial2,single_band,nir,0.1519087487661086,11.264804969468676,302.80263504629744,0.2654637078269302,0.1519087487661086,R
33,polynomial2,single_band,red,0.12377518569428314,10.478638975064882,312.8474468740291,0.23704630579327107,0.12377518569428314,R
