,EstacaoCodigo,Data,Maxima,Minima,Media,location,water_period,longitude,latitude
0,17050001,1985-01-01,505.0,315.0,409.0,Óbidos,T,-55.5131,-1.9192
1,17050001,1985-02-01,545.0,510.0,534.0,Óbidos,T,-55.5131,-1.9192
2,17050001,1985-03-01,556.0,528.0,543.0,Óbidos,T,-55.5131,-1.9192
3,17050001,1985-04-01,562.0,550.0,555.0,Óbidos,T,-55.5131,-1.9192
4,17050001,1985-05-01,620.0,557.0,597.0,Óbidos,T,-55.5131,-1.9192
5,17050001,1985-06-01,620.0,606.0,614.0,Óbidos,T,-55.5131,-1.9192
6,17050001,1985-07-01,605.0,551.0,581.0,Óbidos,T,-55.5131,-1.9192
7,17050001,1985-08-01,550.0,462.0,505.0,Óbidos,T,-55.5131,-1.9192
8,17050001,1985-09-01,461.0,336.0,401.0,Óbidos,T,-55.5131,-1.9192
9,17050001,1985-10-01,332.0,230.0,267.0,Óbidos,T,-55.5131,-1.9192
10,17050001,1985-11-01,246.0,221.0,230.0,Óbidos,LW,-55.5131,-1.9192
11,17050001,1985-12-01,369.0,224.0,295.0,Óbidos,T,-55.5131,-1.9192
12,17050001,1986-01-01,430.0,374.0,406.0,Óbidos,T,-55.5131,-1.9192
13,17050001,1986-02-01,518.0,433.0,475.0,Óbidos,T,-55.5131,-1.9192
14,17050001,1986-03-01,625.0,523.0,574.0,Óbidos,T,-55.5131,-1.9192
15,17050001,1986-04-01,691.0,631.0,660.0,Óbidos,T,-55.5131,-1.9192
16,17050001,1986-05-01,711.0,693.0,702.0,Óbidos,HW,-55.5131,-1.9192
17,17050001,1986-06-01,704.0,698.0,701.0,Óbidos,HW,-55.5131,-1.9192
18,17050001,1986-07-01,698.0,673.0,691.0,Óbidos,T,-55.5131,-1.9192
19,17050001,1986-08-01,671.0,559.0,625.0,Óbidos,T,-55.5131,-1.9192
20,17050001,1986-09-01,551.0,361.0,467.0,Óbidos,T,-55.5131,-1.9192
21,17050001,1986-10-01,356.0,299.0,315.0,Óbidos,T,-55.5131,-1.9192
22,17050001,1986-11-01,350.0,309.0,332.0,Óbidos,T,-55.5131,-1.9192
23,17050001,1986-12-01,409.0,354.0,385.0,Óbidos,T,-55.5131,-1.9192
24,17050001,1987-01-01,482.0,413.0,449.0,Óbidos,T,-55.5131,-1.9192
25,17050001,1987-02-01,551.0,485.0,512.0,Óbidos,T,-55.5131,-1.9192
26,17050001,1987-03-01,634.0,555.0,595.0,Óbidos,T,-55.5131,-1.9192
27,17050001,1987-04-01,680.0,634.0,654.0,Óbidos,T,-55.5131,-1.9192
28,17050001,1987-05-01,695.0,683.0,690.0,Óbidos,T,-55.5131,-1.9192
29,17050001,1987-06-01,686.0,650.0,670.0,Óbidos,T,-55.5131,-1.9192
30,17050001,1987-07-01,648.0,558.0,608.0,Óbidos,T,-55.5131,-1.9192
31,17050001,1987-08-01,557.0,402.0,483.0,Óbidos,T,-55.5131,-1.9192
32,17050001,1987-09-01,392.0,202.0,298.0,Óbidos,T,-55.5131,-1.9192
33,17050001,1987-10-01,195.0,103.0,140.0,Óbidos,LW,-55.5131,-1.9192
34,17050001,1987-11-01,142.0,101.0,119.0,Óbidos,LW,-55.5131,-1.9192
35,17050001,1987-12-01,259.0,143.0,197.0,Óbidos,LW,-55.5131,-1.9192
36,17050001,1988-01-01,399.0,262.0,330.0,Óbidos,T,-55.5131,-1.9192
37,17050001,1988-02-01,527.0,403.0,464.0,Óbidos,T,-55.5131,-1.9192
38,17050001,1988-03-01,606.0,531.0,579.0,Óbidos,T,-55.5131,-1.9192
39,17050001,1988-04-01,634.0,604.0,621.0,Óbidos,T,-55.5131,-1.9192
40,17050001,1988-05-01,686.0,639.0,673.0,Óbidos,T,-55.5131,-1.9192
41,17050001,1988-06-01,692.0,681.0,687.0,Óbidos,T,-55.5131,-1.9192
42,17050001,1988-07-01,681.0,619.0,654.0,Óbidos,T,-55.5131,-1.9192
43,17050001,1988-08-01,617.0,482.0,555.0,Óbidos,T,-55.5131,-1.9192
44,17050001,1988-09-01,476.0,203.0,335.0,Óbidos,T,-55.5131,-1.9192
45,17050001,1988-10-01,195.0,102.0,127.0,Óbidos,LW,-55.5131,-1.9192
46,17050001,1988-11-01,188.0,111.0,138.0,Óbidos,LW,-55.5131,-1.9192
47,17050001,1988-12-01,351.0,192.0,277.0,Óbidos,T,-55.5131,-1.9192
48,17050001,1989-01-01,432.0,352.0,389.0,Óbidos,T,-55.5131,-1.9192
49,17050001,1989-02-01,599.0,435.0,521.0,Óbidos,T,-55.5131,-1.9192
50,17050001,1989-03-01,701.0,602.0,655.0,Óbidos,T,-55.5131,-1.9192
51,17050001,1989-04-01,762.0,705.0,740.0,Óbidos,HW,-55.5131,-1.9192
52,17050001,1989-05-01,795.0,761.0,781.0,Óbidos,HW,-55.5131,-1.9192
53,17050001,1989-06-01,800.0,781.0,792.0,Óbidos,HW,-55.5131,-1.9192
54,17050001,1989-07-01,781.0,732.0,759.0,Óbidos,HW,-55.5131,-1.9192
55,17050001,1989-08-01,729.0,629.0,682.0,Óbidos,T,-55.5131,-1.9192
56,17050001,1989-09-01,623.0,455.0,546.0,Óbidos,T,-55.5131,-1.9192
57,17050001,1989-10-01,446.0,266.0,334.0,Óbidos,T,-55.5131,-1.9192
58,17050001,1989-11-01,321.0,267.0,297.0,Óbidos,T,-55.5131,-1.9192
59,17050001,1989-12-01,319.0,288.0,296.0,Óbidos,T,-55.5131,-1.9192
60,17050001,1990-01-01,315.0,256.0,273.0,Óbidos,T,-55.5131,-1.9192
61,17050001,1990-02-01,515.0,323.0,413.0,Óbidos,T,-55.5131,-1.9192
62,17050001,1990-03-01,631.0,520.0,587.0,Óbidos,T,-55.5131,-1.9192
63,17050001,1990-04-01,677.0,631.0,651.0,Óbidos,T,-55.5131,-1.9192
64,17050001,1990-05-01,698.0,679.0,690.0,Óbidos,T,-55.5131,-1.9192
65,17050001,1990-06-01,700.0,682.0,689.0,Óbidos,T,-55.5131,-1.9192
66,17050001,1990-07-01,682.0,631.0,656.0,Óbidos,T,-55.5131,-1.9192
67,17050001,1990-08-01,628.0,516.0,581.0,Óbidos,T,-55.5131,-1.9192
68,17050001,1990-09-01,511.0,298.0,420.0,Óbidos,T,-55.5131,-1.9192
69,17050001,1990-10-01,291.0,42.0,166.0,Óbidos,LW,-55.5131,-1.9192
70,17050001,1990-11-01,122.0,54.0,93.0,Óbidos,LW,-55.5131,-1.9192
71,17050001,1990-12-01,312.0,131.0,227.0,Óbidos,LW,-55.5131,-1.9192
72,17050001,1991-01-01,499.0,320.0,401.0,Óbidos,T,-55.5131,-1.9192
73,17050001,1991-02-01,536.0,504.0,526.0,Óbidos,T,-55.5131,-1.9192
74,17050001,1991-03-01,587.0,528.0,548.0,Óbidos,T,-55.5131,-1.9192
75,17050001,1991-04-01,670.0,592.0,635.0,Óbidos,T,-55.5131,-1.9192
76,17050001,1991-05-01,713.0,672.0,696.0,Óbidos,T,-55.5131,-1.9192
77,17050001,1991-06-01,715.0,700.0,711.0,Óbidos,HW,-55.5131,-1.9192
78,17050001,1991-07-01,697.0,640.0,671.0,Óbidos,T,-55.5131,-1.9192
79,17050001,1991-08-01,638.0,546.0,601.0,Óbidos,T,-55.5131,-1.9192
80,17050001,1991-09-01,543.0,305.0,435.0,Óbidos,T,-55.5131,-1.9192
81,17050001,1991-10-01,294.0,75.0,170.0,Óbidos,LW,-55.5131,-1.9192
82,17050001,1991-11-01,93.0,36.0,61.0,Óbidos,LW,-55.5131,-1.9192
83,17050001,1991-12-01,169.0,95.0,130.0,Óbidos,LW,-55.5131,-1.9192
84,17050001,1992-01-01,261.0,170.0,202.0,Óbidos,LW,-55.5131,-1.9192
85,17050001,1992-02-01,296.0,265.0,285.0,Óbidos,T,-55.5131,-1.9192
86,17050001,1992-03-01,487.0,293.0,385.0,Óbidos,T,-55.5131,-1.9192
87,17050001,1992-04-01,578.0,496.0,549.0,Óbidos,T,-55.5131,-1.9192
88,17050001,1992-05-01,589.0,562.0,581.0,Óbidos,T,-55.5131,-1.9192
89,17050001,1992-06-01,560.0,495.0,536.0,Óbidos,T,-55.5131,-1.9192
90,17050001,1992-07-01,490.0,399.0,447.0,Óbidos,T,-55.5131,-1.9192
91,17050001,1992-08-01,400.0,274.0,338.0,Óbidos,T,-55.5131,-1.9192
92,17050001,1992-09-01,274.0,203.0,231.0,Óbidos,LW,-55.5131,-1.9192
93,17050001,1992-10-01,209.0,139.0,171.0,Óbidos,LW,-55.5131,-1.9192
94,17050001,1992-11-01,138.0,99.0,116.0,Óbidos,LW,-55.5131,-1.9192
95,17050001,1992-12-01,316.0,134.0,225.0,Óbidos,LW,-55.5131,-1.9192
96,17050001,1993-01-01,453.0,318.0,391.0,Óbidos,T,-55.5131,-1.9192
97,17050001,1993-02-01,548.0,455.0,498.0,Óbidos,T,-55.5131,-1.9192
98,17050001,1993-03-01,651.0,555.0,607.0,Óbidos,T,-55.5131,-1.9192
99,17050001,1993-04-01,720.0,653.0,690.0,Óbidos,T,-55.5131,-1.9192
100,17050001,1993-05-01,731.0,720.0,727.0,Óbidos,HW,-55.5131,-1.9192
101,17050001,1993-06-01,729.0,701.0,716.0,Óbidos,HW,-55.5131,-1.9192
102,17050001,1993-07-01,700.0,640.0,671.0,Óbidos,T,-55.5131,-1.9192
103,17050001,1993-08-01,636.0,505.0,575.0,Óbidos,T,-55.5131,-1.9192
104,17050001,1993-09-01,499.0,325.0,413.0,Óbidos,T,-55.5131,-1.9192
105,17050001,1993-10-01,320.0,185.0,244.0,Óbidos,LW,-55.5131,-1.9192
106,17050001,1993-11-01,280.0,181.0,218.0,Óbidos,LW,-55.5131,-1.9192
107,17050001,1993-12-01,427.0,286.0,357.0,Óbidos,T,-55.5131,-1.9192
108,17050001,1994-01-01,559.0,434.0,507.0,Óbidos,T,-55.5131,-1.9192
109,17050001,1994-02-01,636.0,564.0,599.0,Óbidos,T,-55.5131,-1.9192
110,17050001,1994-03-01,704.0,640.0,677.0,Óbidos,T,-55.5131,-1.9192
111,17050001,1994-04-01,744.0,706.0,724.0,Óbidos,HW,-55.5131,-1.9192
112,17050001,1994-05-01,764.0,748.0,752.0,Óbidos,HW,-55.5131,-1.9192
113,17050001,1994-06-01,764.0,746.0,753.0,Óbidos,HW,-55.5131,-1.9192
114,17050001,1994-07-01,750.0,700.0,728.0,Óbidos,HW,-55.5131,-1.9192
115,17050001,1994-08-01,698.0,594.0,648.0,Óbidos,T,-55.5131,-1.9192
116,17050001,1994-09-01,589.0,439.0,524.0,Óbidos,T,-55.5131,-1.9192
117,17050001,1994-10-01,434.0,265.0,350.0,Óbidos,T,-55.5131,-1.9192
118,17050001,1994-11-01,263.0,179.0,219.0,Óbidos,LW,-55.5131,-1.9192
119,17050001,1994-12-01,306.0,188.0,244.0,Óbidos,LW,-55.5131,-1.9192
120,17050001,1995-01-01,410.0,316.0,375.0,Óbidos,T,-55.5131,-1.9192
121,17050001,1995-02-01,450.0,408.0,424.0,Óbidos,T,-55.5131,-1.9192
