,Data,type,day,month,year,longitude,latitude
0,1985-01-19 02:21:50.846676288,LW_to_R,19,1,1985,-55.5131,-1.9192
1,1985-01-19 02:21:50.846676736,R_to_HW,19,1,1985,-55.5131,-1.9192
2,1985-08-07 20:41:49.078513984,HW_to_F,7,8,1985,-55.5131,-1.9192
3,1985-08-07 20:41:49.078513600,F_to_LW,7,8,1985,-55.5131,-1.9192
4,1986-02-02 23:21:53.119376768,LW_to_R,2,2,1986,-55.5131,-1.9192
5,1986-02-02 23:21:53.119377152,R_to_HW,2,2,1986,-55.5131,-1.9192
6,1986-08-29 01:28:17.114971328,HW_to_F,29,8,1986,-55.5131,-1.9192
7,1986-08-29 01:28:17.114970880,F_to_LW,29,8,1986,-55.5131,-1.9192
8,1987-01-17 05:27:09.457691264,LW_to_R,17,1,1987,-55.5131,-1.9192
9,1987-01-17 05:27:09.457691712,R_to_HW,17,1,1987,-55.5131,-1.9192
10,1987-08-01 04:06:38.617110656,HW_to_F,1,8,1987,-55.5131,-1.9192
11,1987-08-01 04:06:38.617110208,F_to_LW,1,8,1987,-55.5131,-1.9192
12,1988-02-05 12:48:18.126003264,LW_to_R,5,2,1988,-55.5131,-1.9192
13,1988-02-05 12:48:18.126003648,R_to_HW,5,2,1988,-55.5131,-1.9192
14,1988-08-11 06:56:51.564388480,HW_to_F,11,8,1988,-55.5131,-1.9192
15,1988-08-11 06:56:51.564388096,F_to_LW,11,8,1988,-55.5131,-1.9192
16,1989-01-22 20:03:24.968443392,LW_to_R,22,1,1989,-55.5131,-1.9192
17,1989-01-22 20:03:24.968443904,R_to_HW,22,1,1989,-55.5131,-1.9192
18,1989-09-10 01:26:01.461497856,HW_to_F,10,9,1989,-55.5131,-1.9192
19,1989-09-10 01:26:01.461497472,F_to_LW,10,9,1989,-55.5131,-1.9192
20,1990-02-12 02:23:49.878265984,LW_to_R,12,2,1990,-55.5131,-1.9192
21,1990-02-12 02:23:49.878266368,R_to_HW,12,2,1990,-55.5131,-1.9192
22,1990-08-20 01:35:35.056928384,HW_to_F,20,8,1990,-55.5131,-1.9192
23,1990-08-20 01:35:35.056928000,F_to_LW,20,8,1990,-55.5131,-1.9192
24,1991-01-21 01:58:48.446676352,LW_to_R,21,1,1991,-55.5131,-1.9192
25,1991-01-21 01:58:48.446676736,R_to_HW,21,1,1991,-55.5131,-1.9192
26,1991-08-23 05:26:55.326297984,HW_to_F,23,8,1991,-55.5131,-1.9192
27,1991-08-23 05:26:55.326297600,F_to_LW,23,8,1991,-55.5131,-1.9192
28,1992-03-19 07:56:53.755088640,LW_to_R,19,3,1992,-55.5131,-1.9192
