year,area_km2,band,class,class_name
1990,345530.9950895133,classification_1990classification_1990classification_1990classification_1990classification_1990classification_1990classification_1990classification_1990classification_1990,104,Natural
1991,344971.7407298046,classification_1991classification_1991classification_1991classification_1991classification_1991classification_1991classification_1991classification_1991classification_1991,104,Natural
1992,345768.1338674989,classification_1992classification_1992classification_1992classification_1992classification_1992classification_1992classification_1992classification_1992classification_1992,104,Natural
1993,344371.023661152,classification_1993classification_1993classification_1993classification_1993classification_1993classification_1993classification_1993classification_1993classification_1993,104,Natural
1994,343773.06010441313,classification_1994classification_1994classification_1994classification_1994classification_1994classification_1994classification_1994classification_1994classification_1994,104,Natural
1995,344001.10942612373,classification_1995classification_1995classification_1995classification_1995classification_1995classification_1995classification_1995classification_1995classification_1995,104,Natural
1996,343170.7569264892,classification_1996classification_1996classification_1996classification_1996classification_1996classification_1996classification_1996classification_1996classification_1996,104,Natural
1997,343588.9154566324,classification_1997classification_1997classification_1997classification_1997classification_1997classification_1997classification_1997classification_1997classification_1997,104,Natural
1998,344645.26749401726,classification_1998classification_1998classification_1998classification_1998classification_1998classification_1998classification_1998classification_1998classification_1998,104,Natural
1999,340859.05139063334,classification_1999classification_1999classification_1999classification_1999classification_1999classification_1999classification_1999classification_1999classification_1999,104,Natural
2000,342400.1644771267,classification_2000classification_2000classification_2000classification_2000classification_2000classification_2000classification_2000classification_2000classification_2000,104,Natural
2001,342436.28438809974,classification_2001classification_2001classification_2001classification_2001classification_2001classification_2001classification_2001classification_2001classification_2001,104,Natural
2002,342287.0302576349,classification_2002classification_2002classification_2002classification_2002classification_2002classification_2002classification_2002classification_2002classification_2002classification_2002,124,Natural
2003,342769.0971940696,classification_2003classification_2003classification_2003classification_2003classification_2003classification_2003classification_2003classification_2003classification_2003classification_2003,124,Natural
2004,342993.34684668394,classification_2004classification_2004classification_2004classification_2004classification_2004classification_2004classification_2004classification_2004classification_2004classification_2004,124,Natural
2005,342020.0788105344,classification_2005classification_2005classification_2005classification_2005classification_2005classification_2005classification_2005classification_2005classification_2005classification_2005,124,Natural
2006,341540.7474284836,classification_2006classification_2006classification_2006classification_2006classification_2006classification_2006classification_2006classification_2006classification_2006classification_2006,124,Natural
2007,341151.0514848275,classification_2007classification_2007classification_2007classification_2007classification_2007classification_2007classification_2007classification_2007classification_2007classification_2007,124,Natural
2008,340755.17339588096,classification_2008classification_2008classification_2008classification_2008classification_2008classification_2008classification_2008classification_2008classification_2008classification_2008,124,Natural
2009,340139.7102274972,classification_2009classification_2009classification_2009classification_2009classification_2009classification_2009classification_2009classification_2009classification_2009classification_2009,124,Natural
2010,341587.86787370447,classification_2010classification_2010classification_2010classification_2010classification_2010classification_2010classification_2010classification_2010classification_2010classification_2010,124,Natural
2011,341205.2724351879,classification_2011classification_2011classification_2011classification_2011classification_2011classification_2011classification_2011classification_2011classification_2011classification_2011,124,Natural
2012,340612.08853471954,classification_2012classification_2012classification_2012classification_2012classification_2012classification_2012classification_2012classification_2012classification_2012classification_2012,124,Natural
2013,340576.85383878264,classification_2013classification_2013classification_2013classification_2013classification_2013classification_2013classification_2013classification_2013classification_2013classification_2013,124,Natural
2014,340087.8212651064,classification_2014classification_2014classification_2014classification_2014classification_2014classification_2014classification_2014classification_2014classification_2014classification_2014,124,Natural
2015,340440.88626811083,classification_2015classification_2015classification_2015classification_2015classification_2015classification_2015classification_2015classification_2015classification_2015classification_2015,124,Natural
2016,342329.13292432943,classification_2016classification_2016classification_2016classification_2016classification_2016classification_2016classification_2016classification_2016classification_2016classification_2016classification_2016,163,Natural
2017,340553.4123165948,classification_2017classification_2017classification_2017classification_2017classification_2017classification_2017classification_2017classification_2017classification_2017classification_2017classification_2017,163,Natural
2018,341324.48741187225,classification_2018classification_2018classification_2018classification_2018classification_2018classification_2018classification_2018classification_2018classification_2018classification_2018,124,Natural
2019,340759.2357220723,classification_2019classification_2019classification_2019classification_2019classification_2019classification_2019classification_2019classification_2019classification_2019classification_2019classification_2019,163,Natural
2020,341239.83467370353,classification_2020classification_2020classification_2020classification_2020classification_2020classification_2020classification_2020classification_2020classification_2020classification_2020classification_2020,163,Natural
2021,340149.0418616254,classification_2021classification_2021classification_2021classification_2021classification_2021classification_2021classification_2021classification_2021classification_2021classification_2021classification_2021,163,Natural
2022,339020.8173503308,classification_2022classification_2022classification_2022classification_2022classification_2022classification_2022classification_2022classification_2022classification_2022classification_2022classification_2022,163,Natural
2023,339544.90672031674,classification_2023classification_2023classification_2023classification_2023classification_2023classification_2023classification_2023classification_2023classification_2023classification_2023classification_2023,163,Natural
1990,2754.99223517401,classification_1990classification_1990classification_1990classification_1990,105,Non-natural
1991,2797.3999126282465,classification_1991classification_1991classification_1991classification_1991,105,Non-natural
1992,3115.7737347501184,classification_1992classification_1992classification_1992classification_1992,105,Non-natural
1993,3332.313777027512,classification_1993classification_1993classification_1993classification_1993,105,Non-natural
1994,3465.7163770750685,classification_1994classification_1994classification_1994classification_1994,105,Non-natural
1995,3627.713375891947,classification_1995classification_1995classification_1995classification_1995,105,Non-natural
1996,3851.4594134489375,classification_1996classification_1996classification_1996classification_1996,105,Non-natural
1997,4334.899089974186,classification_1997classification_1997classification_1997,64,Non-natural
1998,4798.819816914227,classification_1998classification_1998classification_1998classification_1998,105,Non-natural
1999,4949.4561432198,classification_1999classification_1999classification_1999classification_1999,105,Non-natural
2000,4965.635664941266,classification_2000classification_2000classification_2000classification_2000,105,Non-natural
2001,5063.954650570049,classification_2001classification_2001classification_2001classification_2001,105,Non-natural
2002,5021.247565541815,classification_2002classification_2002classification_2002classification_2002,105,Non-natural
2003,5229.852381943615,classification_2003classification_2003classification_2003classification_2003,105,Non-natural
