year,area_km2,band,class,class_name
1990,345217.0801449248,classification_1990classification_1990classification_1990classification_1990classification_1990classification_1990,45,Natural
1991,344653.1789839894,classification_1991classification_1991classification_1991classification_1991classification_1991classification_1991,45,Natural
1992,345446.94571933226,classification_1992classification_1992classification_1992classification_1992classification_1992classification_1992,45,Natural
1993,344048.8671430478,classification_1993classification_1993classification_1993classification_1993classification_1993classification_1993,45,Natural
1994,343449.603626394,classification_1994classification_1994classification_1994classification_1994classification_1994classification_1994,45,Natural
1995,343677.65090480284,classification_1995classification_1995classification_1995classification_1995classification_1995classification_1995,45,Natural
1996,342845.79321037896,classification_1996classification_1996classification_1996classification_1996classification_1996classification_1996,45,Natural
1997,343257.240640062,classification_1997classification_1997classification_1997classification_1997classification_1997classification_1997,45,Natural
1998,344312.39176125696,classification_1998classification_1998classification_1998classification_1998classification_1998classification_1998,45,Natural
1999,340527.3149734141,classification_1999classification_1999classification_1999classification_1999classification_1999classification_1999,45,Natural
2000,342050.08729031286,classification_2000classification_2000classification_2000classification_2000classification_2000classification_2000,45,Natural
2001,342079.01005028986,classification_2001classification_2001classification_2001classification_2001classification_2001classification_2001,45,Natural
2002,341886.0834927643,classification_2002classification_2002classification_2002classification_2002classification_2002classification_2002,45,Natural
2003,342361.82853761374,classification_2003classification_2003classification_2003classification_2003classification_2003classification_2003,45,Natural
2004,342580.50727093226,classification_2004classification_2004classification_2004classification_2004classification_2004classification_2004,45,Natural
2005,341602.7456674151,classification_2005classification_2005classification_2005classification_2005classification_2005classification_2005,45,Natural
2006,341118.59946309385,classification_2006classification_2006classification_2006classification_2006classification_2006classification_2006,45,Natural
2007,340722.6887420301,classification_2007classification_2007classification_2007classification_2007classification_2007classification_2007,45,Natural
2008,340321.6865596264,classification_2008classification_2008classification_2008classification_2008classification_2008classification_2008,45,Natural
2009,339698.56931331666,classification_2009classification_2009classification_2009classification_2009classification_2009classification_2009,45,Natural
2010,341143.85226416524,classification_2010classification_2010classification_2010classification_2010classification_2010classification_2010,45,Natural
2011,340754.6447481269,classification_2011classification_2011classification_2011classification_2011classification_2011classification_2011,45,Natural
2012,340153.28063895454,classification_2012classification_2012classification_2012classification_2012classification_2012classification_2012,45,Natural
2013,340109.81148825184,classification_2013classification_2013classification_2013classification_2013classification_2013classification_2013,45,Natural
2014,339612.54832947114,classification_2014classification_2014classification_2014classification_2014classification_2014classification_2014,45,Natural
2015,339953.46867169207,classification_2015classification_2015classification_2015classification_2015classification_2015classification_2015,45,Natural
2016,341830.0479168068,classification_2016classification_2016classification_2016classification_2016classification_2016classification_2016,45,Natural
2017,340041.0521647088,classification_2017classification_2017classification_2017classification_2017classification_2017classification_2017,45,Natural
2018,340802.2471368088,classification_2018classification_2018classification_2018classification_2018classification_2018classification_2018,45,Natural
2019,340226.58763925347,classification_2019classification_2019classification_2019classification_2019classification_2019classification_2019,45,Natural
2020,340694.5514822939,classification_2020classification_2020classification_2020classification_2020classification_2020classification_2020,45,Natural
2021,339572.56652815687,classification_2021classification_2021classification_2021classification_2021classification_2021classification_2021,45,Natural
2022,338422.0978103493,classification_2022classification_2022classification_2022classification_2022classification_2022classification_2022,45,Natural
2023,338946.5201555599,classification_2023classification_2023classification_2023classification_2023classification_2023classification_2023,45,Natural
1990,21347.792262901567,classification_1990classification_1990classification_1990classification_1990classification_1990classification_1990classification_1990,197,Non-natural
1991,21911.6987813422,classification_1991classification_1991classification_1991classification_1991classification_1991classification_1991classification_1991,197,Non-natural
1992,21117.923120594965,classification_1992classification_1992classification_1992classification_1992classification_1992classification_1992classification_1992,197,Non-natural
1993,22516.000794851192,classification_1993classification_1993classification_1993classification_1993classification_1993classification_1993classification_1993,197,Non-natural
1994,23115.264315582142,classification_1994classification_1994classification_1994classification_1994classification_1994classification_1994classification_1994,197,Non-natural
1995,22887.21525377513,classification_1995classification_1995classification_1995classification_1995classification_1995classification_1995classification_1995,197,Non-natural
1996,23719.076518378562,classification_1996classification_1996classification_1996classification_1996classification_1996classification_1996classification_1996,197,Non-natural
1997,23307.621953433427,classification_1997classification_1997classification_1997classification_1997classification_1997classification_1997,156,Non-natural
1998,22252.476182328377,classification_1998classification_1998classification_1998classification_1998classification_1998classification_1998classification_1998,197,Non-natural
