mean_precipitation,month_end,month_init,time_finish,time_start,year
283.19241022331266,2,1,1990-02-23,1990-01-18,1990
1311.1430811734742,8,2,1990-08-06,1990-02-23,1990
74.80966781342644,9,8,1990-09-09,1990-08-06,1990
304.2287643103289,12,9,1990-12-22,1990-09-09,1990
561.3732176297058,3,12,1991-03-01,1990-12-22,1990
1325.7824970480192,8,3,1991-08-10,1991-03-01,1991
61.36792534222568,9,8,1991-09-10,1991-08-10,1991
414.4684597407734,2,9,1992-02-19,1991-09-10,1991
402.45751650773735,4,2,1992-04-01,1992-02-19,1992
330.18722734229925,5,4,1992-05-22,1992-04-01,1992
222.7867142122887,7,5,1992-07-28,1992-05-22,1992
427.81916088380115,12,7,1992-12-24,1992-07-28,1992
375.7964967684901,2,12,1993-02-14,1992-12-24,1992
1292.2973706134878,8,2,1993-08-05,1993-02-14,1993
138.96019802920773,9,8,1993-09-12,1993-08-05,1993
291.0817343940593,11,9,1993-11-29,1993-09-12,1993
278.20641882080537,1,11,1994-01-15,1993-11-29,1993
1869.834184456136,8,1,1994-08-25,1994-01-15,1994
104.68229191268611,10,8,1994-10-01,1994-08-25,1994
293.5287795191984,12,10,1994-12-26,1994-10-01,1994
578.9984985219048,3,12,1995-03-26,1994-12-26,1994
1023.3794040461003,7,3,1995-07-20,1995-03-26,1995
62.073863854356574,8,7,1995-08-17,1995-07-20,1995
511.6417904293938,12,8,1995-12-31,1995-08-17,1995
496.04779620079404,2,12,1996-02-17,1995-12-31,1995
1526.9806379759505,8,2,1996-08-09,1996-02-17,1996
95.60599347738321,9,8,1996-09-11,1996-08-09,1996
373.1921903985094,12,9,1996-12-29,1996-09-11,1996
514.8755108761734,2,12,1997-02-21,1996-12-29,1996
1018.1265316567709,7,2,1997-07-30,1997-02-21,1997
60.67157294721459,8,7,1997-08-24,1997-07-30,1997
483.09886217861776,2,8,1998-02-08,1997-08-24,1997
462.29806067003864,4,2,1998-04-10,1998-02-08,1998
825.8708166424179,7,4,1998-07-24,1998-04-10,1998
69.54341405838731,8,7,1998-08-25,1998-07-24,1998
529.60228709802,1,8,1999-01-07,1998-08-25,1998
413.97559078448006,2,1,1999-02-13,1999-01-07,1999
1733.932174390419,8,2,1999-08-26,1999-02-13,1999
65.98678960892292,9,8,1999-09-20,1999-08-26,1999
578.3808577812648,1,9,2000-01-13,1999-09-20,1999
421.0858726153694,2,1,2000-02-29,2000-01-13,2000
