,water_period,media_vazao,Data,type,day,month,year,longitude,latitude,time_start
0,R,132135.74928571426,1990-01-18 01:12:00.000000000,LW_to_R,18,1,1990,-55.5131,-1.9192,1990-01-18
1,HW,178324.6838930596,1990-02-23 01:06:12.413793152,R_to_HW,23,2,1990,-55.5131,-1.9192,1990-02-23
2,F,165665.86725531917,1990-08-06 23:15:16.770186368,HW_to_F,6,8,1990,-55.5131,-1.9192,1990-08-06
3,LW,109090.80271397848,1990-09-09 06:25:30.708661376,F_to_LW,9,9,1990,-55.5131,-1.9192,1990-09-09
4,R,159619.0427026468,1990-12-22 21:55:51.724137856,LW_to_R,22,12,1990,-55.5131,-1.9192,1990-12-22
5,HW,200161.23493580017,1991-03-01 17:06:12.413793152,R_to_HW,1,3,1991,-55.5131,-1.9192,1991-03-01
6,F,168770.3892857143,1991-08-10 12:34:41.927710848,HW_to_F,10,8,1991,-55.5131,-1.9192,1991-08-10
7,LW,109919.31528837641,1991-09-10 14:56:36.226415104,F_to_LW,10,9,1991,-55.5131,-1.9192,1991-09-10
8,R,141689.67809715823,1992-02-19 20:24:00.000000000,LW_to_R,19,2,1992,-55.5131,-1.9192,1992-02-19
9,HW,187973.93025641018,1992-04-01 22:30:00.000000000,R_to_HW,1,4,1992,-55.5131,-1.9192,1992-04-01
10,F,167971.94508333335,1992-05-22 08:32:00.000000000,HW_to_F,22,5,1992,-55.5131,-1.9192,1992-05-22
11,LW,127037.20871223118,1992-07-28 14:05:30.275229312,F_to_LW,28,7,1992,-55.5131,-1.9192,1992-07-28
12,R,156509.26001190476,1992-12-24 08:14:27.469879424,LW_to_R,24,12,1992,-55.5131,-1.9192,1992-12-24
13,HW,189790.54376224056,1993-02-14 08:35:13.761467904,R_to_HW,14,2,1993,-55.5131,-1.9192,1993-02-14
14,F,162023.60844444443,1993-08-05 18:48:53.333333248,HW_to_F,5,8,1993,-55.5131,-1.9192,1993-08-05
15,LW,116578.9407626728,1993-09-12 04:24:08.520710144,F_to_LW,12,9,1993,-55.5131,-1.9192,1993-09-12
16,R,142678.18405555555,1993-11-29 11:44:27.625899392,LW_to_R,29,11,1993,-55.5131,-1.9192,1993-11-29
17,HW,206425.27627007983,1994-01-15 11:44:20.869565184,R_to_HW,15,1,1994,-55.5131,-1.9192,1994-01-15
18,F,183063.79280555557,1994-08-25 12:00:00.000000000,HW_to_F,25,8,1994,-55.5131,-1.9192,1994-08-25
19,LW,114383.06567380953,1994-10-01 00:00:00.000000000,F_to_LW,1,10,1994,-55.5131,-1.9192,1994-10-01
20,R,147186.2496784562,1994-12-26 02:00:54.961832064,LW_to_R,26,12,1994,-55.5131,-1.9192,1994-12-26
21,HW,187641.79376545697,1995-03-26 10:14:49.887640448,R_to_HW,26,3,1995,-55.5131,-1.9192,1995-03-26
22,F,178445.254,1995-07-20 10:34:34.576271232,HW_to_F,20,7,1995,-55.5131,-1.9192,1995-07-20
23,LW,104159.9485097542,1995-08-17 10:46:31.836734720,F_to_LW,17,8,1995,-55.5131,-1.9192,1995-08-17
24,R,154496.4856773399,1995-12-31 18:36:31.304347776,LW_to_R,31,12,1995,-55.5131,-1.9192,1995-12-31
25,HW,192157.3945125448,1996-02-17 19:14:17.142857216,R_to_HW,17,2,1996,-55.5131,-1.9192,1996-02-17
26,F,166063.56238095235,1996-08-09 14:54:40.473372800,HW_to_F,9,8,1996,-55.5131,-1.9192,1996-08-09
27,LW,116646.54309039589,1996-09-11 22:25:47.663551360,F_to_LW,11,9,1996,-55.5131,-1.9192,1996-09-11
28,R,152792.56766071427,1996-12-29 02:47:26.511627904,LW_to_R,29,12,1996,-55.5131,-1.9192,1996-12-29
29,HW,201770.26519892475,1997-02-21 10:51:07.826086912,R_to_HW,21,2,1997,-55.5131,-1.9192,1997-02-21
30,F,196750.02625,1997-07-30 19:36:10.992366464,HW_to_F,30,7,1997,-55.5131,-1.9192,1997-07-30
31,LW,114920.31461430108,1997-08-24 06:00:00.000000000,F_to_LW,24,8,1997,-55.5131,-1.9192,1997-08-24
32,R,151046.11952346042,1998-02-08 14:40:46.601941760,LW_to_R,8,2,1998,-55.5131,-1.9192,1998-02-08
