mean_u__wind,mean_v__wind,month_end,month_init,time_finish,time_start,year
-1.3951800655603557,-0.5487519051089431,2,1,1990-02-23,1990-01-18,1990
-1.6425468695211078,-0.09085431518849744,8,2,1990-08-06,1990-02-23,1990
-1.7142809608970022,0.3698838042146372,9,8,1990-09-09,1990-08-06,1990
-1.8042030510503766,0.11748471941636673,12,9,1990-12-22,1990-09-09,1990
-1.66768702812298,-0.6244944327977772,3,12,1991-03-01,1990-12-22,1990
-1.7771807758768814,-0.2389818048962341,8,3,1991-08-10,1991-03-01,1991
-2.2399026508283133,0.008820841391537259,9,8,1991-09-10,1991-08-10,1991
-1.8023630648884277,-0.03431950376469159,2,9,1992-02-19,1991-09-10,1991
-2.0703160660407707,-0.2954124024986073,4,2,1992-04-01,1992-02-19,1992
-2.135007034512043,-0.13015479378286743,5,4,1992-05-22,1992-04-01,1992
-2.3518881833761958,0.15332614107626483,7,5,1992-07-28,1992-05-22,1992
-1.770683520646844,0.020258469455641567,12,7,1992-12-24,1992-07-28,1992
-1.5067378076513407,-0.2687824369386508,2,12,1993-02-14,1992-12-24,1992
-1.6059773807447097,-0.02206158300972379,8,2,1993-08-05,1993-02-14,1993
-0.9400743271881369,0.19757920875177754,9,8,1993-09-12,1993-08-05,1993
-0.8740662382589353,0.14675754992088358,11,9,1993-11-29,1993-09-12,1993
-1.126387522575526,-0.32022623232732417,1,11,1994-01-15,1993-11-29,1993
-1.7197543484842905,-0.15286745920907963,8,1,1994-08-25,1994-01-15,1994
-1.7125454953738621,0.022903303236500357,10,8,1994-10-01,1994-08-25,1994
-1.4342668825032723,-0.045195236326505094,12,10,1994-12-26,1994-10-01,1994
-1.6379078985748485,-0.2556202229263721,3,12,1995-03-26,1994-12-26,1994
-1.4930195380636406,-0.14105721869579335,7,3,1995-07-20,1995-03-26,1995
-1.8612745864616727,-0.3430068524518737,8,7,1995-08-17,1995-07-20,1995
-1.2587050011874588,0.023277631214736753,12,8,1995-12-31,1995-08-17,1995
-1.0663352652772362,-0.32942954675720365,2,12,1996-02-17,1995-12-31,1995
-1.2613495572626672,-0.18147148477550057,8,2,1996-08-09,1996-02-17,1996
-1.5060712001368426,0.16762834059727652,9,8,1996-09-11,1996-08-09,1996
-1.4878239645375522,0.24250793197393278,12,9,1996-12-29,1996-09-11,1996
-1.3617016098007948,-0.334917239206713,2,12,1997-02-21,1996-12-29,1996
-1.9335496255744735,-0.24185302306591047,7,2,1997-07-30,1997-02-21,1997
-2.0498081984058505,-0.299571212785335,8,7,1997-08-24,1997-07-30,1997
-2.0991009413038983,-0.22987630648824367,2,8,1998-02-08,1997-08-24,1997
-1.8041876635216072,-0.11694184612535329,4,2,1998-04-10,1998-02-08,1998
-1.5996219175722264,0.03387632657692565,7,4,1998-07-24,1998-04-10,1998
-1.428602469881359,-0.08153731810315797,8,7,1998-08-25,1998-07-24,1998
-1.0254616740629647,-0.02762995617674787,1,8,1999-01-07,1998-08-25,1998
-1.0773964903755697,-0.4342586173271056,2,1,1999-02-13,1999-01-07,1999
-1.1344459414342467,-0.22338737749358298,8,2,1999-08-26,1999-02-13,1999
-1.2873543265578036,-0.11321952461680289,9,8,1999-09-20,1999-08-26,1999
-1.0244790417664553,-0.05616103670955322,1,9,2000-01-13,1999-09-20,1999
-1.0323634444466097,-0.5046349294791739,2,1,2000-02-29,2000-01-13,2000
-1.4145862477440991,-0.14351276391170198,8,2,2000-08-24,2000-02-29,2000
-1.8026317481182699,0.28004979763884225,9,8,2000-09-28,2000-08-24,2000
-1.286616513830559,0.021453035867997138,1,9,2001-01-05,2000-09-28,2000
-1.4055477105767622,-0.5930465471434904,2,1,2001-02-14,2001-01-05,2001
-1.51933178157338,-0.17884750281089187,8,2,2001-08-05,2001-02-14,2001
-1.3887208403102935,-0.11109004356128313,9,8,2001-09-07,2001-08-05,2001
-1.8165920023342976,0.163258578711502,12,9,2001-12-27,2001-09-07,2001
-1.31469132799369,-0.5025667180444047,2,12,2002-02-26,2001-12-27,2001
-1.699834873949071,-0.19290776219572778,8,2,2002-08-19,2002-02-26,2002
-2.4035406655047358,-0.029700118346303754,9,8,2002-09-18,2002-08-19,2002
-1.641473453796486,0.03386644312615122,12,9,2002-12-31,2002-09-18,2002
-1.91577105240948,-0.374960264871986,3,12,2003-03-14,2002-12-31,2002
-1.4769386454237377,-0.1812694818416532,8,3,2003-08-12,2003-03-14,2003
-1.1277774141980457,0.016394476181844964,9,8,2003-09-18,2003-08-12,2003
-1.2244755515402233,0.1611996192089901,1,9,2004-01-12,2003-09-18,2003
-1.3098463189212182,-0.3140286913147429,3,1,2004-03-08,2004-01-12,2004
-1.4972569030910063,-0.10677063455116326,7,3,2004-07-19,2004-03-08,2004
-1.5069848521020008,-0.16172717088611577,9,7,2004-09-10,2004-07-19,2004
-1.2074144128354374,0.2021806450745627,1,9,2005-01-08,2004-09-10,2004
-1.0625351052742795,-0.17472432893813208,2,1,2005-02-24,2005-01-08,2005
-1.4931845315873429,-0.24432880753573663,7,2,2005-07-13,2005-02-24,2005
-1.2813385490964302,-0.5564348405840144,8,7,2005-08-12,2005-07-13,2005
