"","lower","r","upper","p"
"TSS_m-ar_k2",-0.691003819858814,-0.624613404136508,-0.547773230535207,4.43315831514521e-55
"TSS_m-prcpt",-0.177500211491685,-0.0619808629549448,0.0552233193768948,0.120863871681331
"TSS_m-mn_ds",-0.742215543010611,-0.684777257897919,-0.617351743415448,7.82039766731899e-66
"TSS_m-u_wnd",-0.00670958271444553,0.110181152778974,0.224101433162696,0.00582746675904045
"TSS_m-v_wnd",0.0341081406533671,0.150313679465656,0.262509114550473,0.000168593542244408
"TSS_m-ant_2",-0.188229779987992,-0.0730310599646172,0.0441499399581345,0.0705481830466487
"ar_k2-prcpt",-0.070304339233794,0.0468850596515298,0.162797901948952,0.240667314717619
"ar_k2-mn_ds",0.541921682307366,0.619511702476835,0.686630359136374,3.29131021222141e-54
"ar_k2-u_wnd",-0.203517785422068,-0.0888249255446487,0.0282727942448123,0.0262291328898086
"ar_k2-v_wnd",-0.280417410879718,-0.169153475435915,-0.0534042438572131,2.30284569093195e-05
"ar_k2-ant_2",0.00588792833499388,0.122607991990142,0.236032125802461,0.00239841271968309
"prcpt-mn_ds",0.0675849732136916,0.182945149291861,0.293478257906885,4.68797750136886e-06
"prcpt-u_wnd",0.114887699240985,0.228624089644223,0.336443975592937,1.05723094208766e-08
"prcpt-v_wnd",-0.470010699937479,-0.373723475696855,-0.268646178435342,8.51406676441758e-21
"prcpt-ant_2",-0.0892446820949778,0.027850016788605,0.144185366766407,0.490447502736682
"mn_ds-u_wnd",-0.250964276840207,-0.138211382157876,-0.0217582552397165,0.00054283879380857
"mn_ds-v_wnd",-0.284749499431868,-0.173723143951423,-0.0580976542020712,1.3759473840923e-05
"mn_ds-ant_2",-0.0814312684158009,0.035712800498482,0.151883616965644,0.37654644277022
"u_wnd-v_wnd",-0.252332109845295,-0.139643506762911,-0.0232178265615161,0.000474617526703859
"u_wnd-ant_2",-0.156127421723657,-0.0400534658828193,0.0771116805490243,0.321328682028549
"v_wnd-ant_2",-0.321237213207125,-0.212402579229669,-0.0980302810936022,1.44432667830875e-07
