"","lower","r","upper","p"
"TSS_m-ar_k2",-0.61620033828582,-0.436507936507936,-0.213619539932476,3.42558982902405e-07
"TSS_m-prcpt",-0.382427685437199,-0.150793650793651,0.0986730959066053,0.07819421341751
"TSS_m-mn_ds",-0.653797698931755,-0.486111111111111,-0.272912288100701,1.36478187145826e-08
"TSS_m-u_wnd",-0.148307747677257,0.101190476190476,0.338578116118476,0.237245808441425
"TSS_m-v_wnd",-0.106698938082904,0.142857142857143,0.375481174167832,0.0952039792894125
"TSS_m-ant_2",-0.495243873740564,-0.28400852249062,-0.0410661470681762,0.000973789136546772
"ar_k2-prcpt",-0.124638959090564,0.125,0.359755380946944,0.144292055440105
"ar_k2-mn_ds",0.192668711339894,0.418650793650794,0.602461787179067,1.00929700983552e-06
"ar_k2-u_wnd",-0.290033429632835,-0.0476190476190476,0.200537567961933,0.578082526573584
"ar_k2-v_wnd",-0.485214033379257,-0.271825396825397,-0.0278789048967676,0.00149885586230549
"ar_k2-ant_2",0.17540200629162,0.403801220904941,0.590953580632409,2.74462023478283e-06
"prcpt-mn_ds",-0.136508974649726,0.113095238095238,0.349196895963794,0.186519417694497
"prcpt-u_wnd",-0.0291174309217302,0.218253968253968,0.440434448461368,0.0107972292750619
"prcpt-v_wnd",-0.306354798025325,-0.0654761904761905,0.183282968190382,0.444415585416877
"prcpt-ant_2",-0.310810588512984,-0.0703782103184137,0.178519389263621,0.413783947345024
"mn_ds-u_wnd",-0.415069872502433,-0.188492063492063,0.0601019275109808,0.02769524240028
"mn_ds-v_wnd",-0.37025408315759,-0.136904761904762,0.112697053788238,0.109811776651243
"mn_ds-ant_2",-0.106300300815598,0.143252101853792,0.375827485184858,0.0962151326314756
"u_wnd-v_wnd",-0.357999798788741,-0.123015873015873,0.126622269784964,0.150769628752575
"u_wnd-ant_2",-0.394116297193042,-0.164215824076299,0.0850255817854732,0.0565305191643182
"v_wnd-ant_2",-0.490319893241057,-0.278018887569904,-0.0345722603655021,0.00124467996211564
