"","lower","r","upper","p"
"TSS_m-ar_k2",-0.328678561501247,-0.114524232546564,0.11083107150714,0.138848093205922
"TSS_m-prcpt",-0.109847647270704,0.115506607704908,0.329566267283245,0.135430428773377
"TSS_m-mn_ds",-0.553803852733137,-0.377837137201914,-0.169563331147368,1.03611791987584e-06
"TSS_m-u_wnd",-0.300728681105535,-0.0838063625923834,0.141360698817146,0.278763574144609
"TSS_m-v_wnd",-0.0931149326881778,0.132154181716288,0.34455221861255,0.0874974086837593
"TSS_m-ant_2",-0.33130480071525,-0.117431760902156,0.10791915781142,0.13086062708743
"ar_k2-prcpt",-0.196334872873279,0.0273926845310974,0.248409208855172,0.723450080567698
"ar_k2-mn_ds",0.310599946795889,0.498664022470684,0.64915886443857,1.17421497234882e-10
"ar_k2-u_wnd",-0.132052514484555,0.0932175075175409,0.309331563077976,0.228601267928285
"ar_k2-v_wnd",-0.47573685316928,-0.283185876236353,-0.0647345330010254,0.000252929073819737
"ar_k2-ant_2",0.168280008961668,0.376704144940466,0.552887319959848,1.2782604123736e-06
"prcpt-mn_ds",-0.218400453948421,0.00434129242986122,0.226653085451786,0.95526422538234
"prcpt-u_wnd",0.179023628210508,0.386170040462788,0.560531669428135,6.08672699795775e-07
"prcpt-v_wnd",-0.345809137665249,-0.133555933988809,0.0917001791309627,0.0843370813436399
"prcpt-ant_2",-0.186494070461053,0.0375969855101498,0.257969443884659,0.628781433980214
"mn_ds-u_wnd",-0.159061489441206,0.065798266863178,0.284168192961322,0.395270009282151
"mn_ds-v_wnd",-0.381391355949415,-0.173593726337486,0.050903426135278,0.0248418084387189
"mn_ds-ant_2",0.0273479259454403,0.248367180241285,0.44623483315398,0.0014024535067186
"u_wnd-v_wnd",-0.455126628773385,-0.258807846796195,-0.0384940683347862,0.000825001972081762
"u_wnd-ant_2",-0.0698275585834849,0.155113471446074,0.365043820780772,0.046128073738619
"v_wnd-ant_2",-0.610528767697546,-0.448999760414343,-0.251608815228134,7.68126699588906e-09
