"","lower","r","upper","p"
"TSS_m-ar_k2",-0.606881644529841,-0.437964559126121,-0.231192546729379,4.43773372609116e-08
"TSS_m-prcpt",-0.416519471137587,-0.206213077882708,0.0250422769883764,0.0099752249147319
"TSS_m-mn_ds",-0.522284672860778,-0.332125840164192,-0.110502176682423,3.34642903343645e-05
"TSS_m-u_wnd",-0.458915644203651,-0.255862731056455,-0.0274088962295637,0.00139382748257776
"TSS_m-v_wnd",-0.0286602079078589,0.202743917161817,0.413522542383149,0.0112835410883394
"TSS_m-ant_2",-0.209255277590872,0.0218646235259274,0.250670941959368,0.785940006425444
"ar_k2-prcpt",-0.0644970996548734,0.168064024390244,0.383310216219802,0.035695346850362
"ar_k2-mn_ds",0.470448748747279,0.632100694049539,0.752705288554875,2.86042455386418e-15
"ar_k2-u_wnd",-0.0066184697696514,0.223789570209336,0.431633482229651,0.00517700761019557
"ar_k2-v_wnd",-0.302388775272744,-0.0777290926660661,0.155112040754172,0.331252682007933
"ar_k2-ant_2",-0.407663652020759,-0.195977078090333,0.0356998298165844,0.0149032510531675
"prcpt-mn_ds",0.0175953929508322,0.246664142973493,0.451130082164493,0.0020590443306047
"prcpt-u_wnd",0.187944626645218,0.40068626625215,0.577515402485594,5.56353835025253e-07
"prcpt-v_wnd",-0.469023791365295,-0.267860549726689,-0.040275274580469,0.000813417113439457
"prcpt-ant_2",-0.172988023825293,0.0594451019647781,0.285606320561934,0.460200742850672
"mn_ds-u_wnd",0.0512425438493599,0.278032036613272,0.4775521760628,0.000516181855547434
"mn_ds-v_wnd",-0.330442055229953,-0.108633522616294,0.124546548706421,0.174652748351799
"mn_ds-ant_2",-0.347609654295941,-0.127759788252405,0.105405715575401,0.112590920415857
"u_wnd-v_wnd",-0.296134623557511,-0.0708976673916866,0.161808912626129,0.375679509498139
"u_wnd-ant_2",-0.38228230965787,-0.166893417086476,0.0656963853298113,0.0382042348005993
"v_wnd-ant_2",-0.497945440977745,-0.302537102255516,-0.0778913670999207,0.000170427346082859
