"","lower","r","upper","p"
"TSS_m-ar_k2",-0.696978916887852,-0.548620533695161,-0.355224612180877,5.2321017984592e-11
"TSS_m-prcpt",-0.432713283599348,-0.214834916327454,0.0267543708326562,0.0101559662434797
"TSS_m-mn_ds",-0.631897960886888,-0.461781999095432,-0.249217593364011,3.29176739757682e-08
"TSS_m-u_wnd",-0.235514954474816,0.00497512437810945,0.244891085454408,0.952532560205333
"TSS_m-v_wnd",0.11842177708771,0.348710990502035,0.543402388618529,3.01561443843476e-05
"TSS_m-ant_2",-0.380412969757291,-0.154304452898364,0.0892107907845651,0.0664647014174733
"ar_k2-prcpt",-0.120303203075971,0.123473541383989,0.35320627444574,0.139582995556534
"ar_k2-mn_ds",0.413639449657334,0.594753505201266,0.730586889969847,1.10981633626293e-12
"ar_k2-u_wnd",-0.23038176262673,0.0104025327905925,0.249986494540251,0.900947093591734
"ar_k2-v_wnd",-0.461015410269483,-0.248303934871099,-0.00860878090217173,0.00296903356602326
"ar_k2-ant_2",-0.206029372582707,0.0359588548052234,0.273802473691823,0.668876940060239
"prcpt-mn_ds",0.105262816628078,0.336951605608322,0.533943542083262,5.54020936790701e-05
"prcpt-u_wnd",0.158390022981898,0.383989145183175,0.571485382648754,4.34032067090995e-06
"prcpt-v_wnd",-0.475382693144886,-0.265490728177295,-0.0270042522105065,0.00149030996959891
"prcpt-ant_2",-0.197281709996014,0.0450623623508496,0.28221617316104,0.591982213095751
"mn_ds-u_wnd",-0.158858909876732,0.0845771144278607,0.318318725292123,0.31155969332461
"mn_ds-v_wnd",-0.564326239962171,-0.374943464495703,-0.148070785950351,7.25209095758187e-06
"mn_ds-ant_2",-0.234624834050863,0.00591727990465702,0.245776560131466,0.943891732751093
"u_wnd-v_wnd",-0.422666283963525,-0.20307553143374,0.0390373524090746,0.0151082534342214
"u_wnd-ant_2",-0.244065032759083,-0.00409657839553178,0.236344615132899,0.961139121678226
"v_wnd-ant_2",-0.460819567643858,-0.248070580618313,-0.00836012714294583,0.00317240952506574
