"variable","W","p.value","normality","n","period"
"area_km2",0.734827499662827,1.99240763271443e-09,"not normal",64,"F"
"TSS_mean",0.426256239531648,2.10044030471291e-14,"not normal",64,"F"
"TSS_max",0.836928199084806,3.63243979163412e-05,"not normal",41,"F"
"TSS_min",0.484436883183993,8.11200738566668e-11,"not normal",41,"F"
"precipitation",0.944870485818903,0.00644817522958064,"not normal",64,"F"
"mean_discharge",0.974985663363863,0.218596835541096,"normal",64,"F"
"u_wind",0.974492667104744,0.20634596836923,"normal",64,"F"
"v_wind",0.973460162695081,0.182728617193868,"normal",64,"F"
"anthropogenic_km2",0.822340365362061,2.60632196803584e-07,"not normal",64,"F"
"natural_km2",0.954828154582841,0.0199093484736268,"not normal",64,"F"
