"variable","W","p.value","normality","n","period"
"area_km2",0.783421797139848,2.31292921120762e-09,"not normal",78,"HW"
"TSS_mean",0.66331125807476,4.38238385200307e-12,"not normal",78,"HW"
"TSS_max",0.868675145276957,0.000630308756938825,"not normal",35,"HW"
"TSS_min",0.340309805765143,2.13881766893389e-11,"not normal",35,"HW"
"precipitation",0.941092809687382,0.00130033942534642,"not normal",78,"HW"
"mean_discharge",0.964746273202427,0.0295074286154006,"not normal",78,"HW"
"u_wind",0.974509888586822,0.119286186377521,"normal",78,"HW"
"v_wind",0.982697097832661,0.370358893848648,"normal",78,"HW"
"anthropogenic_km2",0.811460639162767,1.37423146578765e-08,"not normal",78,"HW"
"natural_km2",0.961677524247928,0.0191932719638235,"not normal",78,"HW"
