"variable","W","p.value","normality","n","period"
"area_km2",0.925629003526881,0.000316460440870044,"not normal",74,"LW"
"TSS_mean",0.923652092018338,0.000256065126485865,"not normal",74,"LW"
"TSS_max",0.89064316057005,0.00140198657250769,"not normal",38,"LW"
"TSS_min",0.799268882704555,1.01022242826429e-05,"not normal",38,"LW"
"precipitation",0.950598927720544,0.00579042893217247,"not normal",74,"LW"
"mean_discharge",0.978956458082973,0.26162448307172,"normal",73,"LW"
"u_wind",0.968664477820292,0.062809676308151,"normal",74,"LW"
"v_wind",0.968441771754238,0.0609247864287229,"normal",74,"LW"
"anthropogenic_km2",0.825139702572001,6.38547696566272e-08,"not normal",74,"LW"
"natural_km2",0.958855655161829,0.0167640485347406,"not normal",74,"LW"
