"variable","W","p.value","normality","n","period"
"area_km2",0.947910674414093,0.00713659176636809,"not normal",67,"R"
"TSS_mean",0.900791229345553,5.95791583810846e-05,"not normal",67,"R"
"TSS_max",0.82885913199078,9.76097689839762e-05,"not normal",34,"R"
"TSS_min",0.771813619991725,7.64165818913133e-06,"not normal",34,"R"
"precipitation",0.938983345104248,0.00238740950418969,"not normal",68,"R"
"mean_discharge",0.983815358447733,0.533968488364286,"normal",67,"R"
"u_wind",0.952284609924499,0.0119086919576835,"not normal",67,"R"
"v_wind",0.931206320670426,0.00113027119171384,"not normal",67,"R"
"anthropogenic_km2",0.814608074560473,8.26866843159991e-08,"not normal",68,"R"
"natural_km2",0.964710888984023,0.0512293039841947,"normal",68,"R"
