"","lower","r","upper","p"
"TSS_m-ar_k2",-0.732351021954745,-0.647190383002516,-0.542095582165111,2.84857433440832e-31
"TSS_m-prcpt",-0.179897600542717,-0.0185444040629951,0.14378054364804,0.73891749776162
"TSS_m-mn_ds",-0.783756871943624,-0.712235579163172,-0.622070897639434,1.62745180297723e-37
"TSS_m-u_wnd",-0.0416585250229958,0.121051160190103,0.277506058866178,0.0295868089638729
"TSS_m-v_wnd",-0.0154903197851634,0.146771037181996,0.301500302084236,0.00834394175729112
"TSS_m-ant_2",-0.268505090579126,-0.111456734871291,0.0513633582313702,0.047270298611804
"ar_k2-prcpt",-0.133355169419366,0.0291678315161681,0.19016315429495,0.600128625539771
"ar_k2-mn_ds",0.559806030558641,0.661727704780542,0.743924862289982,1.28967237520185e-32
"ar_k2-u_wnd",-0.250321248600139,-0.092162892554282,0.0707865699341137,0.0976434400859896
"ar_k2-v_wnd",-0.319970618793769,-0.166713260646724,-0.00495367136533132,0.00273335507363359
"ar_k2-ant_2",-0.0412695017605507,0.121435124986458,0.277865703081877,0.0306582548241851
"prcpt-mn_ds",-0.0162519594921589,0.146025533501072,0.300807563806844,0.0086794799866092
"prcpt-u_wnd",0.0924391736626037,0.250582424750722,0.396394917002844,6.68231450027662e-06
"prcpt-v_wnd",-0.508653209733641,-0.377877178268568,-0.23005785929066,1.11085330708325e-11
"prcpt-ant_2",-0.112727016986951,0.0500802220874383,0.21026872415938,0.372713979465659
"mn_ds-u_wnd",-0.273313127525355,-0.116578138104557,0.0461868439442565,0.0361543372686978
"mn_ds-v_wnd",-0.319798536614483,-0.166526884726493,-0.00476197800449483,0.00276353323700974
"mn_ds-ant_2",-0.0959093265132918,0.0670246581320603,0.226460656937597,0.232868160300246
"u_wnd-v_wnd",-0.323066369857043,-0.170068027210884,-0.00840618598189386,0.00223916285728838
"u_wnd-ant_2",-0.193988430279855,-0.0331357860428164,0.129451941565452,0.555325222969449
"v_wnd-ant_2",-0.372086547149019,-0.22366655578901,-0.0640941236446073,6.85840459206903e-05
