"","lower","r","upper","p"
"TSS_m-ar_k2",-0.647500528346611,-0.424390243902439,-0.134270698378644,9.27885534282327e-05
"TSS_m-prcpt",-0.426321545149277,-0.136585365853659,0.178568630408635,0.208400049162676
"TSS_m-mn_ds",-0.694990757788233,-0.492682926829268,-0.218089154321216,5.68702766053872e-06
"TSS_m-u_wnd",-0.223614891208765,0.0902439024390244,0.387145794934385,0.405881315880991
"TSS_m-v_wnd",-0.122212128972753,0.192682926829268,0.472333895909339,0.0759563199114747
"TSS_m-ant_2",-0.570261639830027,-0.318486941524667,-0.0120136237386447,0.00337089665490039
"ar_k2-prcpt",-0.149420984453243,0.165853658536585,0.450516519333674,0.126625897967308
"ar_k2-mn_ds",0.181663970798781,0.463414634146341,0.674851666687643,1.97112716855011e-05
"ar_k2-u_wnd",-0.361838267404952,-0.0609756097560976,0.251390716767124,0.574390688846704
"ar_k2-v_wnd",-0.541418092216894,-0.280487804878049,0.0297279278157623,0.00978472049778111
"ar_k2-ant_2",0.112795835656241,0.406345408152162,0.634656015573034,0.000183675487009679
"prcpt-mn_ds",-0.154317277167913,0.160975609756098,0.446512854333044,0.138176508313229
"prcpt-u_wnd",-0.0766436307202617,0.236585365853659,0.507310886621812,0.0293319656882276
"prcpt-v_wnd",-0.378759368594481,-0.0804878048780488,0.232930489751153,0.458506763053802
"prcpt-ant_2",-0.350114392467035,-0.0475900027565595,0.263924584110421,0.661333206296358
"mn_ds-u_wnd",-0.468392425865116,-0.18780487804878,0.127194651313696,0.0836805869616986
"mn_ds-v_wnd",-0.444506725075363,-0.158536585365854,0.156759629924786,0.14424831606472
"mn_ds-ant_2",-0.103251908206491,0.211104371202174,0.48711826083997,0.0519862160721854
"u_wnd-v_wnd",-0.42224833718511,-0.131707317073171,0.18337338287572,0.225110965726245
"u_wnd-ant_2",-0.447596145483177,-0.162294111964677,0.152995369204862,0.135190777330923
"v_wnd-ant_2",-0.573922167454888,-0.323367967448417,-0.0174539133121085,0.00291415184165551
