"","lower","r","upper","p"
"TSS_m-ar_k2",-0.438026591764263,-0.122689075630252,0.219533241488519,0.299873575692399
"TSS_m-prcpt",-0.12897516120615,0.213445378151261,0.510388053764635,0.071296880302187
"TSS_m-mn_ds",-0.369198638411094,-0.0409960030845394,0.296298505394699,0.732613768013905
"TSS_m-u_wnd",-0.340695824339926,-0.00840336134453782,0.325755425820883,0.943392056822656
"TSS_m-v_wnd",-0.196608143991636,0.146218487394958,0.457187734079543,0.216635331200136
"TSS_m-ant_2",-0.512989713665787,-0.216806722689076,0.125507769672938,0.0669536949958006
"ar_k2-prcpt",-0.229243936544863,0.112605042016807,0.429726014262412,0.341352674822885
"ar_k2-mn_ds",-0.155057341223219,0.187898347470806,0.490435546860478,0.117372240762198
"ar_k2-u_wnd",-0.183337601905856,0.159663865546219,0.468008860715751,0.177293272553184
"ar_k2-v_wnd",-0.533608926134581,-0.243697478991597,0.0974642697926597,0.0394743509145028
"ar_k2-ant_2",-0.0796575873105453,0.260504201680672,0.546323262828529,0.0277203138639452
"prcpt-mn_ds",-0.299416556937801,0.0375796694941611,0.366239686418885,0.754144049223268
"prcpt-u_wnd",0.0474725746621281,0.374789915966387,0.629423121219897,0.00154063040510132
"prcpt-v_wnd",-0.465312219990139,-0.156302521008403,0.186666998860831,0.18659034640884
"prcpt-ant_2",-0.222777691814196,0.119327731092437,0.435265694162328,0.313309658872901
"mn_ds-u_wnd",-0.342326348825598,-0.0102490007711348,0.324104504604519,0.931933314294938
"mn_ds-v_wnd",-0.330206144511601,0.00341633359037828,0.336280029603725,0.977286582863576
"mn_ds-ant_2",-0.202635430467331,0.14006967720551,0.452208168301911,0.243086573742685
"u_wnd-v_wnd",-0.593465573357012,-0.32436974789916,0.00995262683003498,0.00612755557405778
"u_wnd-ant_2",-0.142761499865432,0.2,0.49992677078098,0.0910336149996065
"v_wnd-ant_2",-0.748301410561575,-0.552941176470588,-0.269321324008033,2.97887349843205e-06
