"","lower","r","upper","p"
"TSS_m-ar_k2",-0.704344325469115,-0.496443812233286,-0.210105159367061,1.14611061195827e-05
"TSS_m-prcpt",-0.484385425857272,-0.194879089615932,0.133096099402307,0.0850059626149102
"TSS_m-mn_ds",-0.340247156798857,-0.0230735420779449,0.298813932525546,0.840294268621256
"TSS_m-u_wnd",-0.48212008557258,-0.19203413940256,0.135998158708578,0.0896575048881352
"TSS_m-v_wnd",-0.138894599452066,0.189189189189189,0.479850859711989,0.0945118336802026
"TSS_m-ant_2",-0.388210046485807,-0.0782361308677098,0.247640918959276,0.489279799882147
"ar_k2-prcpt",-0.198450288411654,0.129445234708393,0.431281519257641,0.252605665948298
"ar_k2-mn_ds",-0.231550362509401,0.0951783610715226,0.402611481664283,0.405827900769017
"ar_k2-u_wnd",-0.150424501875801,0.177809388335704,0.470734899882898,0.116069317169201
"ar_k2-v_wnd",-0.338710098050122,-0.0213371266002845,0.300395261899334,0.850423128846604
"ar_k2-ant_2",-0.445339316162514,-0.14651493598862,0.181677919701425,0.195352592315618
"prcpt-mn_ds",-0.373028600674674,-0.0605680479546053,0.264231515439138,0.596817688275324
"prcpt-u_wnd",0.105243023216182,0.411095305832148,0.645894937302712,0.000279840536688851
"prcpt-v_wnd",-0.535438343868405,-0.260312944523471,0.0647595526029367,0.0214109374148034
"prcpt-ant_2",-0.282152464561369,0.0412517780938833,0.356237252004893,0.715421035504473
"mn_ds-u_wnd",-0.195293532761407,0.132672866948183,0.433950928015565,0.246569006434877
"mn_ds-v_wnd",-0.40990820205267,-0.103830939350752,0.223263196170248,0.36449834270773
"mn_ds-ant_2",-0.32227040539078,-0.00288419275974311,0.317091529745004,0.979903703534487
"u_wnd-v_wnd",-0.409916396672147,-0.103840682788051,0.223253837484208,0.358750262650375
"u_wnd-ant_2",-0.456942676072209,-0.160739687055477,0.167553541217502,0.15542573698815
"v_wnd-ant_2",-0.546276979667302,-0.274537695590327,0.0494890746649741,0.0152503927578792
