"","lower","r","upper","p"
"TSS_m-ar_k2",-0.7175203252161,-0.500891265597148,-0.195909560844257,3.10441429508197e-05
"TSS_m-prcpt",-0.513455648762101,-0.212121212121212,0.135784602640031,0.0777136706707032
"TSS_m-mn_ds",-0.325277259903252,0.0144813518799215,0.3509285187372,0.905364358586608
"TSS_m-u_wnd",-0.364731165271807,-0.0303030303030303,0.311050136648554,0.801029054919923
"TSS_m-v_wnd",-0.102416739478737,0.244206773618538,0.537947500386255,0.0422601952480745
"TSS_m-ant_2",-0.510991714723514,-0.208928904542524,0.139061874558477,0.0827689423386963
"ar_k2-prcpt",-0.314269309976501,0.0267379679144385,0.361633821897785,0.824028471479964
"ar_k2-mn_ds",-0.213902582384103,0.133952504889274,0.451658893728401,0.271458125052089
"ar_k2-u_wnd",-0.330248395338568,0.0089126559714795,0.346035418620504,0.940913137581158
"ar_k2-v_wnd",-0.494060857002135,-0.18716577540107,0.161202947688592,0.119573430988654
"ar_k2-ant_2",-0.339746252812161,-0.00178571713284209,0.336583232469508,0.988169638786873
"prcpt-mn_ds",-0.360419299322565,-0.0253423657898626,0.315527375867623,0.835187268894222
"prcpt-u_wnd",0.0940521749759663,0.418894830659537,0.6631249863348,0.000494451852877982
"prcpt-v_wnd",-0.556659927267803,-0.269162210338681,0.0759132166022645,0.02518905746218
"prcpt-ant_2",-0.171640902685877,0.176785996151367,0.48590297578405,0.142119835521629
"mn_ds-u_wnd",-0.123044430420796,0.224460954138783,0.522933394990406,0.0653642456721203
"mn_ds-v_wnd",-0.544892509877032,-0.253423657898626,0.0926850754817733,0.0374765764052583
"mn_ds-ant_2",-0.322006297335264,0.0181340432087819,0.354128116994039,0.881836595201038
"u_wnd-v_wnd",-0.527123114270166,-0.229946524064171,0.117343833208018,0.0558309078926909
"u_wnd-ant_2",-0.327048135701184,0.0125000199298946,0.349189665654862,0.917332894761539
"v_wnd-ant_2",-0.601343858187398,-0.330357669575786,0.00879000956055773,0.00608575288029766
