"variable","W","p.value","normality","n"
"area_km2",0.95212598326544,5.55887483466128e-05,"not normal",148
"TSS_mean",0.805210018470689,9.33716789637763e-13,"not normal",148
"TSS_max",0.814739893841,2.09822224601097e-12,"not normal",148
"TSS_min",0.711031471351176,1.03123721698031e-15,"not normal",148
"precipitation",0.897459670773492,1.13292468492029e-08,"not normal",148
"mean_discharge",0.954034593959197,8.5586119531764e-05,"not normal",147
"u_wind",0.981499271734063,0.04355084984501,"not normal",148
"v_wind",0.977392630470189,0.0151924506377819,"not normal",148
"anthropogenic_km2",0.818220547106251,2.84037785797162e-12,"not normal",148
"natural_km2",0.962476870444851,0.000461662429631662,"not normal",148
