"variable","W","p.value","normality","n","period"
"area_km2",0.749140826440809,5.43568054136359e-07,"not normal",41,"F"
"TSS_mean",0.42462857335421,1.73958730662019e-11,"not normal",41,"F"
"TSS_max",0.836928199084806,3.63243979163412e-05,"not normal",41,"F"
"TSS_min",0.484436883183993,8.11200738566668e-11,"not normal",41,"F"
"precipitation",0.954244092908913,0.0986999238797705,"normal",41,"F"
"mean_discharge",0.971373199572832,0.381862589185172,"normal",41,"F"
"u_wind",0.975963638216909,0.527011245673859,"normal",41,"F"
"v_wind",0.979883161352424,0.671091241358373,"normal",41,"F"
"anthropogenic_km2",0.823844875099329,1.81310363856792e-05,"not normal",41,"F"
"natural_km2",0.967528494231601,0.285633145947572,"normal",41,"F"
