"variable","W","p.value","normality","n","period"
"area_km2",0.932186462417647,0.0325054879269669,"not normal",35,"HW"
"TSS_mean",0.855785907691883,0.000312836451896192,"not normal",35,"HW"
"TSS_max",0.868675145276961,0.000630308756938969,"not normal",35,"HW"
"TSS_min",0.34030980576514,2.13881766893374e-11,"not normal",35,"HW"
"precipitation",0.91974509151206,0.0140172301248236,"not normal",35,"HW"
"mean_discharge",0.886688203143982,0.00176800886936441,"not normal",35,"HW"
"u_wind",0.979376915826863,0.73878494106711,"normal",35,"HW"
"v_wind",0.98723612584088,0.949615990802855,"normal",35,"HW"
"anthropogenic_km2",0.817526924034328,4.58781963361451e-05,"not normal",35,"HW"
"natural_km2",0.960137243204687,0.230839479719042,"normal",35,"HW"
