"variable","W","p.value","normality","n","period"
"area_km2",0.975456143778819,0.558104406633288,"normal",38,"LW"
"TSS_mean",0.896708432245397,0.00206054792270971,"not normal",38,"LW"
"TSS_max",0.890643160570032,0.00140198657250614,"not normal",38,"LW"
"TSS_min",0.79926888270455,1.01022242826407e-05,"not normal",38,"LW"
"precipitation",0.956536869378161,0.14624079978872,"normal",38,"LW"
"mean_discharge",0.945076559755135,0.0613349810105282,"normal",38,"LW"
"u_wind",0.974643423501085,0.531015173933096,"normal",38,"LW"
"v_wind",0.967060410475569,0.318794931330859,"normal",38,"LW"
"anthropogenic_km2",0.825807577956307,3.66791126595846e-05,"not normal",38,"LW"
"natural_km2",0.959697608083025,0.185581804432589,"normal",38,"LW"
