"variable","W","p.value","normality","n","period"
"area_km2",0.887858617873656,0.00222565534185184,"not normal",34,"R"
"TSS_mean",0.861302253990635,0.000506047989555111,"not normal",34,"R"
"TSS_max",0.82885913199078,9.76097689839762e-05,"not normal",34,"R"
"TSS_min",0.771813619991725,7.64165818913133e-06,"not normal",34,"R"
"precipitation",0.964884667661257,0.335493300172388,"normal",34,"R"
"mean_discharge",0.972425271835789,0.531453866502949,"normal",34,"R"
"u_wind",0.939953031763589,0.0614520129979339,"normal",34,"R"
"v_wind",0.90900479288664,0.00800107298421182,"not normal",34,"R"
"anthropogenic_km2",0.844056222097415,0.000206719317613446,"not normal",34,"R"
"natural_km2",0.969468458203478,0.44696780090001,"normal",34,"R"
