"","lower","r","upper","p"
"TSS_m-ar_k2",-0.647500528346611,-0.424390243902439,-0.134270698378644,9.27885534282327e-05
"TSS_m-prcpt",-0.420207323955487,-0.129268292682927,0.185770127137774,0.233816369902802
"TSS_m-mn_ds",-0.694990757788233,-0.492682926829268,-0.218089154321216,5.68702766053872e-06
"TSS_m-u_wnd",-0.0297279278157623,0.280487804878049,0.541418092216894,0.00978472049778111
"TSS_m-v_wnd",-0.10464740697532,0.209756097560976,0.486041525774558,0.0533726698870678
"TSS_m-ant_2",-0.583029890077364,-0.335570532257791,-0.0311343488847737,0.00200846421521656
"ar_k2-prcpt",-0.127194651313696,0.18780487804878,0.468392425865115,0.0836805869616986
"ar_k2-mn_ds",0.181663970798781,0.463414634146341,0.674851666687643,1.97112716855011e-05
"ar_k2-u_wnd",-0.464439755927871,-0.182926829268293,0.132161326961945,0.0920289563060661
"ar_k2-v_wnd",-0.633605957540446,-0.404878048780488,-0.111061529705745,0.000192238515461724
"ar_k2-ant_2",0.216932970418635,0.491763361817781,0.694362811592385,5.98958563779297e-06
"prcpt-mn_ds",-0.166490629555948,0.148780487804878,0.436453419120932,0.170594380504402
"prcpt-u_wnd",-0.18337338287572,0.131707317073171,0.422248337185111,0.225110965726245
"prcpt-v_wnd",-0.292111609993561,0.0170731707317073,0.323026894286859,0.875050082993366
"prcpt-ant_2",-0.30211625307256,0.00610128240468711,0.313163898739724,0.95521177040756
"mn_ds-u_wnd",-0.518774982385951,-0.251219512195122,0.0611576740170404,0.0206798339696711
"mn_ds-v_wnd",-0.474300445836773,-0.195121951219512,0.119714901573361,0.0723181426851869
"mn_ds-ant_2",-0.0596963811925506,0.252593091554046,0.519846099690097,0.0200635205715414
"u_wnd-v_wnd",-0.223614891208765,0.0902439024390244,0.387145794934385,0.405881315880991
"u_wnd-ant_2",-0.542485223446054,-0.281879247096545,0.0282182957552871,0.00946621170098861
"v_wnd-ant_2",-0.631159836263466,-0.401464382228412,-0.107033750777344,0.000219419275939318
