"variable","W","p.value","normality","n","period"
"area_km2",0.749140826440809,5.43568054136359e-07,"not normal",41,"F"
"TSS_mean",0.42462857335421,1.73958730662019e-11,"not normal",41,"F"
"TSS_max",0.836928199084806,3.63243979163412e-05,"not normal",41,"F"
"TSS_min",0.484436883183993,8.11200738566668e-11,"not normal",41,"F"
"precipitation",0.951898517314768,0.0142050274693406,"not normal",64,"F"
"mean_discharge",0.974985663363863,0.218596835541096,"normal",64,"F"
"u_wind",0.922935591690548,0.000660684809155701,"not normal",64,"F"
"v_wind",0.97204698217973,0.154516268126948,"normal",64,"F"
"anthropogenic_km2",0.887594874711253,2.81325631664508e-05,"not normal",64,"F"
"natural_km2",0.946740264869808,0.00793333764933839,"not normal",64,"F"
