"","lower","r","upper","p"
"TSS_m-ar_k2",-0.733840432860705,-0.649384077955507,-0.545158767177887,1.11234747754673e-31
"TSS_m-prcpt",-0.290324218845288,-0.13531899246185,0.0266057293955515,0.0146686625411495
"TSS_m-mn_ds",-0.292765978883377,-0.137937763401066,0.0239388474292289,0.0151608601203617
"TSS_m-u_wnd",-0.175100899948881,-0.0141570141570142,0.147523793879226,0.798476242372423
"TSS_m-v_wnd",-0.20842757904576,-0.0487221915793344,0.113513986771217,0.379565360072353
"TSS_m-ant_2",-0.265799806697337,-0.109136292276416,0.0531433222466933,0.0511174053248536
"ar_k2-prcpt",-0.0260442156969397,0.135870564441993,0.290838676205077,0.0142695513938849
"ar_k2-mn_ds",-0.0822507230981263,0.0801568522433299,0.238417287684192,0.158176616828767
"ar_k2-u_wnd",-0.1512991695573,0.0102960102960103,0.171355197405919,0.852690222638453
"ar_k2-v_wnd",-0.157043071704743,0.00441257584114727,0.165638492848189,0.936571188440298
"ar_k2-ant_2",-0.0203771042456477,0.141431725705151,0.296020632046858,0.0114819112596264
"prcpt-mn_ds",-0.150196679735521,0.0114240036766112,0.172449987125718,0.840597350095554
"prcpt-u_wnd",-0.234230374274653,-0.0757492186063615,0.0866536760194789,0.171899483545304
"prcpt-v_wnd",-0.281392698461207,-0.125758411472697,0.0363224250698948,0.0233271292700118
"prcpt-ant_2",-0.114340926517331,0.0478863323253662,0.207626021456111,0.392092652162706
"mn_ds-u_wnd",-0.140582696509143,0.0212429820432853,0.181963159080039,0.708403531716115
"mn_ds-v_wnd",-0.127778391541149,0.0342720110298336,0.194540128226668,0.546250358706596
"mn_ds-ant_2",-0.211698320824501,-0.0521352209255326,0.110135043670976,0.363038923805825
"u_wnd-v_wnd",0.0562790988976443,0.215664644236073,0.364331160062315,0.00010045945158968
"u_wnd-ant_2",-0.287887930541384,-0.132708246560608,0.0292621465205749,0.0177029745829334
"v_wnd-ant_2",-0.33157435985136,-0.179852155128991,-0.0190614386783089,0.00130748128979611
