"","lower","r","upper","p"
"TSS_m-ar_k2",-0.647500528346611,-0.424390243902439,-0.134270698378644,9.27885534282327e-05
"TSS_m-prcpt",-0.420207323955487,-0.129268292682927,0.185770127137774,0.233816369902802
"TSS_m-mn_ds",-0.589564546558445,-0.344377160860108,-0.041078939064546,0.00180941868284335
"TSS_m-u_wnd",-0.0297279278157623,0.280487804878049,0.541418092216894,0.00978472049778111
"TSS_m-v_wnd",-0.10464740697532,0.209756097560976,0.486041525774558,0.0533726698870678
"TSS_m-ant_2",-0.581970102035469,-0.334146341463415,-0.029531771049244,0.00208709089868618
"ar_k2-prcpt",-0.127194651313696,0.18780487804878,0.468392425865115,0.0836805869616986
"ar_k2-mn_ds",-0.0913660150453039,0.222539753768806,0.496216973967511,0.0437918506257408
"ar_k2-u_wnd",-0.464439755927871,-0.182926829268293,0.132161326961945,0.0920289563060661
"ar_k2-v_wnd",-0.633605957540446,-0.404878048780488,-0.111061529705745,0.000192238515461724
"ar_k2-ant_2",0.215024217807908,0.490243902439024,0.693324537138798,6.32453597088463e-06
"prcpt-mn_ds",-0.0305508710698108,0.279728740770846,0.540835592670153,0.011271214047456
"prcpt-u_wnd",-0.18337338287572,0.131707317073171,0.422248337185111,0.225110965726245
"prcpt-v_wnd",-0.292111609993561,0.0170731707317073,0.323026894286859,0.875050082993366
"prcpt-ant_2",-0.303227459405229,0.0048780487804878,0.312060173971656,0.964164895887222
"mn_ds-u_wnd",-0.517738215312257,-0.249891008421956,0.0625697400850938,0.023582493306623
"mn_ds-v_wnd",-0.263088578680318,0.0484863150669466,0.350902405760006,0.660475215852767
"mn_ds-ant_2",-0.218351772674708,0.0957293912860228,0.391839690659458,0.385804331160766
"u_wnd-v_wnd",-0.223614891208765,0.0902439024390244,0.387145794934385,0.405881315880991
"u_wnd-ant_2",-0.543288085371008,-0.282926829268293,0.0270807972455513,0.00916573848108697
"v_wnd-ant_2",-0.63185869912809,-0.402439024390244,-0.10818274444418,0.000210110412559434
