"","lower","r","upper","p"
"TSS_m-ar_k2",-0.438026591764263,-0.122689075630252,0.219533241488519,0.299873575692399
"TSS_m-prcpt",-0.313681727032641,0.0218487394957983,0.352528517944974,0.85352818297692
"TSS_m-mn_ds",-0.643507156298762,-0.394957983193277,-0.0710648837278064,0.000845854622660448
"TSS_m-u_wnd",-0.426947193304533,-0.109243697478992,0.232465783623805,0.355958698846574
"TSS_m-v_wnd",-0.176655117752454,0.166386554621849,0.473384970348525,0.159741415695152
"TSS_m-ant_2",-0.453202248873628,-0.14129525602834,0.201436142109837,0.232853470998066
"ar_k2-prcpt",-0.146187427309853,0.196638655462185,0.497297703023069,0.0965995143038124
"ar_k2-mn_ds",0.216309284098789,0.512605042016807,0.722441364763943,1.48139487261567e-05
"ar_k2-u_wnd",-0.248463308675509,0.092436974789916,0.412962497675971,0.434756171758432
"ar_k2-v_wnd",-0.465312219990139,-0.156302521008403,0.186666998860831,0.18659034640884
"ar_k2-ant_2",0.0226588963183897,0.353238140070849,0.614185588771042,0.00285809849937125
"prcpt-mn_ds",-0.163194598074823,0.179831932773109,0.484069010472204,0.128623300313861
"prcpt-u_wnd",-0.00242125809087411,0.33109243697479,0.59832279077253,0.00514707419152364
"prcpt-v_wnd",-0.283015211385914,0.0554621848739496,0.381654764164689,0.639321792223435
"prcpt-ant_2",-0.243605608189381,0.097561010114806,0.417242229749553,0.410072454923646
"mn_ds-u_wnd",-0.301498545089842,0.0352941176470588,0.364256408461787,0.765527570552786
"mn_ds-v_wnd",-0.451742422043018,-0.139495798319328,0.203196645639347,0.238510143050559
"mn_ds-ant_2",-0.0631937903666985,0.27586216653152,0.557827560032963,0.0198447797247963
"u_wnd-v_wnd",-0.465312219990139,-0.156302521008403,0.186666998860831,0.18659034640884
"u_wnd-ant_2",-0.240406961432509,0.100925182877386,0.42004438779401,0.394118712211548
"v_wnd-ant_2",-0.626094963831166,-0.370059003883747,-0.0419908021823449,0.00178028742077875
