"","lower","r","upper","p"
"TSS_m-ar_k2",-0.688046966962975,-0.468468468468468,-0.170299728524884,4.49174863255163e-05
"TSS_m-prcpt",-0.550972860942284,-0.276276276276276,0.0524367927477099,0.0161055806109617
"TSS_m-mn_ds",-0.638417118916215,-0.396396396396396,-0.0830435091399857,0.000554749520960194
"TSS_m-u_wnd",-0.437423569084152,-0.132132132132132,0.200469630704229,0.249756284929242
"TSS_m-v_wnd",-0.106571027685927,0.225225225225225,0.511888036099841,0.0497820260502771
"TSS_m-ant_2",-0.369033314954638,-0.0511278773564433,0.277488094655936,0.656494616304354
"ar_k2-prcpt",-0.161822961185983,0.171171171171171,0.469168790728374,0.135963475763978
"ar_k2-mn_ds",0.406711233766248,0.645645645645646,0.801904957000306,1.86673303683853e-08
"ar_k2-u_wnd",-0.191642106641074,0.141141141141141,0.444817554540853,0.218916312254405
"ar_k2-v_wnd",-0.371565251866085,-0.0540540540540541,0.274777540530351,0.637755195577952
"ar_k2-ant_2",-0.537610630209563,-0.258646908979654,0.0713518313731854,0.0244519628099391
"prcpt-mn_ds",-0.0685617289707536,0.261261261261261,0.539601074354622,0.0228624545361517
"prcpt-u_wnd",-0.0229734261561749,0.303303303303303,0.571188187750612,0.00824341179241104
"prcpt-v_wnd",-0.422510713542427,-0.114114114114114,0.217964132586223,0.320225316214481
"prcpt-ant_2",-0.329392055351435,-0.00601504439487568,0.318624944321959,0.958270151010842
"mn_ds-u_wnd",-0.119028906661407,0.213213213213213,0.502515833598059,0.063282544517795
"mn_ds-v_wnd",-0.412475170029732,-0.102102102102102,0.22950976647192,0.373807528602538
"mn_ds-ant_2",-0.452354269089522,-0.150376109871892,0.182536943090075,0.190835357908798
"u_wnd-v_wnd",-0.065350469201159,0.264264264264264,0.541883585554285,0.0213417661509165
"u_wnd-ant_2",-0.47419867140484,-0.177443809648833,0.155516637304573,0.122692042470995
"v_wnd-ant_2",-0.47419867140484,-0.177443809648833,0.155516637304573,0.122692042470995
