"","lower","r","upper","p"
"TSS_m-ar_k2",-0.7175203252161,-0.500891265597148,-0.195909560844257,3.10441429508197e-05
"TSS_m-prcpt",-0.428109468969812,-0.105169340463458,0.241588366121435,0.381768642644805
"TSS_m-mn_ds",-0.321914630852796,0.0182362767576218,0.354217556107764,0.881645298381003
"TSS_m-u_wnd",-0.281720760796111,0.0623885918003565,0.392278130343945,0.603861500322337
"TSS_m-v_wnd",-0.0911180289121043,0.254901960784314,0.546002716052703,0.0340148678255662
"TSS_m-ant_2",-0.48590297578405,-0.176785996151367,0.171640902685877,0.142119835521629
"ar_k2-prcpt",-0.346035418620504,-0.0089126559714795,0.330248395338568,0.940913137581158
"ar_k2-mn_ds",-0.410410192726406,-0.0838868730850605,0.261702719111521,0.493428714923193
"ar_k2-u_wnd",-0.355416878124412,-0.0196078431372549,0.320684215339373,0.870464204663916
"ar_k2-v_wnd",-0.524401865601062,-0.226381461675579,0.121051247011643,0.059740452112243
"ar_k2-ant_2",-0.361675390219816,-0.0267857569926313,0.314226209280244,0.823990420129861
"prcpt-mn_ds",-0.308767842932047,0.0328252981637193,0.366918062292248,0.788706323760595
"prcpt-u_wnd",0.173192318417085,0.483065953654189,0.705915828577662,5.88377671905844e-05
"prcpt-v_wnd",-0.339743434606568,-0.0017825311942959,0.336586057484543,0.988172238771046
"prcpt-ant_2",-0.278312535907467,0.0660715339151572,0.395402699109659,0.583262836355994
"mn_ds-u_wnd",-0.334931539052924,0.00364725535152437,0.341391888232567,0.97624508810809
"mn_ds-v_wnd",-0.398133623752562,-0.069297851678963,0.275319731625516,0.571557916752118
"mn_ds-ant_2",-0.331677778974494,0.00730754826609323,0.344621630000001,0.952501179001783
"u_wnd-v_wnd",-0.298094636194918,0.0445632798573975,0.377046965483948,0.710927225946912
"u_wnd-ant_2",-0.36787352725914,-0.0339286255239996,0.307768250336425,0.778153353307791
"v_wnd-ant_2",-0.616599975050177,-0.351786275169891,-0.0154596944698503,0.00348845606678638
