"variable","W","p.value","normality","n"
"area_km2",0.95212598326544,5.55887483466156e-05,"not normal",148
"TSS_mean",0.80521001847069,9.33716789637823e-13,"not normal",148
"TSS_max",0.814739893840999,2.09822224601069e-12,"not normal",148
"TSS_min",0.711031471351176,1.03123721698031e-15,"not normal",148
"precipitation",0.905397762985333,3.18962426574519e-08,"not normal",148
"mean_discharge",0.891087822209399,5.1127362602689e-09,"not normal",148
"u_wind",0.987118321765778,0.186523127505653,"normal",148
"v_wind",0.969402453377696,0.00218139697677271,"not normal",148
"anthropogenic_km2",0.880821845628275,1.50535287024324e-09,"not normal",148
"natural_km2",0.945534649214036,1.61204262294743e-05,"not normal",148
