"variable","W","p.value","normality","n","period"
"area_km2",0.749140826440811,5.43568054136418e-07,"not normal",41,"F"
"TSS_mean",0.424628573354211,1.73958730662022e-11,"not normal",41,"F"
"TSS_max",0.836928199084808,3.63243979163442e-05,"not normal",41,"F"
"TSS_min",0.484436883183993,8.11200738566668e-11,"not normal",41,"F"
"precipitation",0.959970882413071,0.156923182580941,"normal",41,"F"
"mean_discharge",0.828741390435678,2.34383088330129e-05,"not normal",41,"F"
"u_wind",0.930872049370064,0.0154383416929775,"not normal",41,"F"
"v_wind",0.973737249032554,0.452662395144638,"normal",41,"F"
"anthropogenic_km2",0.891541945589323,0.000942056738780225,"not normal",41,"F"
"natural_km2",0.953410603239674,0.0922475724273635,"normal",41,"F"
