"variable","W","p.value","normality","n","period"
"area_km2",0.932186462417647,0.0325054879269671,"not normal",35,"HW"
"TSS_mean",0.855785907691882,0.000312836451896173,"not normal",35,"HW"
"TSS_max",0.868675145276957,0.000630308756938825,"not normal",35,"HW"
"TSS_min",0.340309805765143,2.13881766893389e-11,"not normal",35,"HW"
"precipitation",0.988562536625623,0.96927095198276,"normal",35,"HW"
"mean_discharge",0.959022656281224,0.213699593628424,"normal",35,"HW"
"u_wind",0.948448123029462,0.101533451119734,"normal",35,"HW"
"v_wind",0.979194796027874,0.732782737060837,"normal",35,"HW"
"anthropogenic_km2",0.888345535673765,0.0019503719961414,"not normal",35,"HW"
"natural_km2",0.954064557937416,0.151019049945744,"normal",35,"HW"
