"variable","W","p.value","normality","n","period"
"area_km2",0.969471711259458,0.394205319073699,"normal",37,"LW"
"TSS_mean",0.899574149934221,0.00286835552588029,"not normal",37,"LW"
"TSS_max",0.880057742864107,0.000860939017260185,"not normal",37,"LW"
"TSS_min",0.795973720245872,1.08266843531846e-05,"not normal",37,"LW"
"precipitation",0.976508879463933,0.610436037887225,"normal",37,"LW"
"mean_discharge",0.981375268724243,0.778358765597125,"normal",37,"LW"
"u_wind",0.939533636910455,0.0445802458522713,"not normal",37,"LW"
"v_wind",0.966733251942182,0.326966808918628,"normal",37,"LW"
"anthropogenic_km2",0.864558643887209,0.000350772207840117,"not normal",37,"LW"
"natural_km2",0.944412659661681,0.0638009720381546,"normal",37,"LW"
