"variable","W","p.value","normality","n","period"
"area_km2",0.887858617873656,0.0022256553418518,"not normal",34,"R"
"TSS_mean",0.861302253990636,0.000506047989555124,"not normal",34,"R"
"TSS_max",0.828859131990791,9.76097689840286e-05,"not normal",34,"R"
"TSS_min",0.771813619991724,7.6416581891312e-06,"not normal",34,"R"
"precipitation",0.974721093555563,0.602592504881773,"normal",34,"R"
"mean_discharge",0.948238817016313,0.108733635190826,"normal",34,"R"
"u_wind",0.962010852134735,0.278028955871117,"normal",34,"R"
"v_wind",0.986677562328419,0.94461497543617,"normal",34,"R"
"anthropogenic_km2",0.878677282161694,0.00131379061551239,"not normal",34,"R"
"natural_km2",0.958478001112506,0.21946570607058,"normal",34,"R"
