,TSS_max,TSS_mean,TSS_min,TSS_stdDev,area_km2,band_count,time_finish,time_start,water_period,year,mean_discharge,mean_loc_chirps,u_wind_loc,v_wind_loc,watershed,anthropogenic_km2,natural_km2
0,231.3883514404297,48.81200034423448,8.646607398986816,27.405530067776343,1043.4040130082576,6.0,1985-04-09,1984-12-24,R,1984,169528.4064747475,1051.1171256580344,-1.8039576920909812,-0.4692499481064776,Local Watershed,,
1,230.7235412597656,26.369014805470904,7.906408309936523,18.243428217787784,1091.495113033965,6.0,1985-07-09,1985-04-09,HW,1985,,578.6345864837322,-2.042476098972741,-0.0871503936438335,Local Watershed,48.89779975640928,1838.0006815653287
3,233.25125122070312,36.78800539586648,8.202881813049316,24.029145391972637,885.7687563203566,6.0,1985-09-23,1985-07-09,F,1985,,125.4308027954217,-1.7111385343116703,-0.1832498161210826,Local Watershed,48.89779975640928,1838.0006815653287
5,234.16390991210935,59.01813118102388,10.828718185424805,48.52975603549047,981.618495408303,6.0,1985-12-16,1985-09-23,LW,1985,,411.5075007853583,-1.3640438345433308,-0.0941739116742522,Local Watershed,48.89779975640928,1838.0006815653287
11,231.4406280517578,20.104852677257384,8.064193725585938,22.183980188807816,1131.200198435967,6.0,1986-08-23,1986-06-08,F,1986,,102.24748103229544,-2.1719074931816253,0.1597006353275995,Local Watershed,49.87707703699259,1865.9027929113597
13,235.26026916503903,62.35286149300119,9.72849941253662,37.27832269527416,1005.1201743133836,6.0,1986-11-23,1986-08-23,LW,1986,,169.50533214867326,-1.565426432221988,0.3899023552021343,Local Watershed,49.87707703699259,1865.9027929113597
15,234.9059600830078,83.8672426419026,8.897278785705566,51.69661408875029,1123.628482739126,6.0,1987-03-09,1986-11-23,R,1986,158009.5498130841,626.0838002442297,-2.106703772913284,-0.2846130491228384,Local Watershed,49.87707703699259,1865.9027929113597
16,225.5315704345703,29.08171126097072,7.940857887268066,17.1588946001983,1099.7573845232237,6.0,1987-06-16,1987-03-09,HW,1987,206814.66490000003,887.4989492460719,-2.314731552676493,0.0548915344761877,Local Watershed,91.98152777923391,1809.6351550263332
17,216.6991271972656,24.73253608296235,8.064339637756348,11.955821896852694,1117.0366889115155,6.0,1987-09-16,1987-06-16,F,1987,177037.43752688172,190.9102493385106,-1.6482889272448678,0.085193692616648,Local Watershed,91.98152777923391,1809.6351550263332
18,235.0611724853516,213.2241006202755,10.753714561462402,33.56270705957812,771.1163744453232,6.0,1987-12-24,1987-09-16,LW,1987,,146.97776815408722,-1.5640591757968985,0.46087120734791,Local Watershed,91.98152777923391,1809.6351550263332
20,233.43524169921875,50.6198488780627,8.056079864501953,28.00777125213219,1165.7344021144722,6.0,1988-04-08,1987-12-24,R,1987,,944.8562431763024,-1.8644513400143703,-0.2691946638508843,Local Watershed,91.98152777923391,1809.6351550263332
24,233.7978973388672,38.91258997157194,8.149343490600586,34.865512016620094,957.0126195650644,6.0,1988-08-31,1988-07-01,F,1988,,178.36105474161403,-1.5008538290789728,-0.4421030107651749,Local Watershed,93.98419634021784,1759.578979844577
26,235.2598876953125,68.53275155911459,8.307052612304688,49.26676874299991,995.0773007545752,6.0,1988-11-30,1988-08-31,LW,1988,,247.5021237140677,-1.4742016061881904,0.1621211171727168,Local Watershed,93.98419634021784,1759.578979844577
