time_finish,TSS_max,TSS_mean,TSS_min,TSS_stdDev,area_km2,time_start,water_period,year,mean_discharge,precipitation,u_wind,v_wind,watershed,anthropogenic_km2,natural_km2,TSS_max_fill,TSS_min_fill,TSS_stdDev_fill
1985-04-09,231.3883514404297,48.81200034423448,8.646607398986816,27.405530067776343,1043.4040130082576,1984-12-24,R,1985,166387.87567289718,753.8684853324738,-0.945100243101277,-0.6933346104218857,Regional Watershed,1637.2688073846273,305485.4746074757,231.3883514404297,8.646607398986816,27.405530067776343
1985-07-09,230.7235412597656,26.369014805470904,7.906408309936523,18.243428217787777,1091.495113033965,1985-04-09,HW,1985,191041.16147668607,693.334073351983,-0.7277543725046437,-0.1261210636412554,Regional Watershed,1637.2688073846273,305485.4746074757,230.7235412597656,7.906408309936523,18.243428217787777
1985-09-23,233.25125122070312,36.788005395866485,8.202881813049316,24.029145391972637,885.7687563203566,1985-07-09,F,1985,169404.9714536222,350.42461740407543,-0.5778235797297706,-0.2384264019032202,Regional Watershed,1637.2688073846273,305485.4746074757,233.25125122070312,8.202881813049316,24.029145391972637
1985-12-16,234.16390991210935,59.01813118102388,10.828718185424805,48.52975603549047,981.618495408303,1985-09-23,LW,1985,119094.38437190208,404.1351243514853,-0.576755159228704,-0.3554553022880002,Regional Watershed,1637.2688073846273,305485.4746074757,234.16390991210935,10.828718185424805,48.52975603549047
1986-08-23,231.4406280517578,20.104852677257384,8.064193725585938,22.183980188807816,1131.200198435967,1986-06-08,F,1986,212255.26908587245,329.7839569653297,-0.6790263850213345,-0.0974930598307526,Regional Watershed,1567.0678618006457,305474.7229548575,231.4406280517578,8.064193725585938,22.183980188807816
1986-11-23,235.26026916503903,62.35286149300119,9.72849941253662,37.27832269527414,1005.1201743133836,1986-08-23,LW,1986,146186.29601086956,333.563569921969,-0.4896897448321977,-0.0312907932670189,Regional Watershed,1567.0678618006457,305474.7229548575,235.26026916503903,9.72849941253662,37.27832269527414
1987-03-09,234.9059600830078,83.8672426419026,8.897278785705566,51.69661408875029,1123.628482739126,1986-11-23,R,1987,158009.5498130841,590.9323700226031,-0.958507310991314,-0.4610857499508127,Regional Watershed,1769.63736449485,304938.2022414817,234.9059600830078,8.897278785705566,51.69661408875029
1987-06-16,225.5315704345703,29.08171126097072,7.940857887268066,17.1588946001983,1099.7573845232237,1987-03-09,HW,1987,206814.66490000003,808.3201768585367,-0.8361818593736946,-0.0360044526248501,Regional Watershed,1769.63736449485,304938.2022414817,225.5315704345703,7.940857887268066,17.1588946001983
1987-09-16,216.6991271972656,24.73253608296235,8.064339637756348,11.955821896852695,1117.0366889115155,1987-06-16,F,1987,177037.43752688172,323.43023318667537,-0.4562795682236515,-0.1509492164549311,Regional Watershed,1769.63736449485,304938.2022414817,216.6991271972656,8.064339637756348,11.955821896852695
1987-12-24,235.0611724853516,213.2241006202755,10.753714561462402,33.56270705957812,771.1163744453232,1987-09-16,LW,1987,100975.95976533792,250.8300891101772,-0.3771502222698373,-0.1239180194755726,Regional Watershed,1769.63736449485,304938.2022414817,235.0611724853516,10.753714561462402,33.56270705957812
1988-04-08,233.43524169921875,50.6198488780627,8.056079864501953,28.00777125213219,1165.7344021144722,1987-12-24,R,1988,159735.46351820327,802.9774766387592,-0.8372739272808993,-0.434202518488709,Regional Watershed,1819.2271341188068,304585.40638701007,233.43524169921875,8.056079864501953,28.00777125213219
1988-08-31,233.7978973388672,38.91258997157194,8.149343490600586,34.865512016620094,957.0126195650644,1988-07-01,F,1988,194093.33563275923,295.3252238848653,-0.4146089312422317,-0.3757621098531321,Regional Watershed,1819.2271341188068,304585.40638701007,233.7978973388672,8.149343490600586,34.865512016620094
1988-11-30,235.2598876953125,68.53275155911459,8.307052612304688,49.2667687429999,995.0773007545752,1988-08-31,LW,1988,109137.7505224229,368.9544296883124,-0.491732790260483,-0.1940493104068022,Regional Watershed,1819.2271341188068,304585.40638701007,235.2598876953125,8.307052612304688,49.2667687429999
1989-04-01,235.20639038085935,99.10875760553472,8.65372371673584,66.66660206615157,870.9216910792363,1988-11-30,R,1989,161880.58867265884,1134.9560041036923,-0.6921137392966425,-0.5800327107562817,Regional Watershed,1736.9778016003836,304367.35363671824,235.20639038085935,8.65372371673584,66.66660206615157
1989-11-08,231.0474853515625,29.21715756621701,7.932968616485596,15.886247268259568,1368.0606732417646,1989-07-24,F,1989,175307.17737645825,373.405078030977,-0.5588322019068056,-0.1700650215055104,Regional Watershed,1736.9778016003836,304367.35363671824,231.0474853515625,7.932968616485596,15.886247268259568
1990-01-31,234.1838531494141,153.8277524880621,10.83965301513672,57.72567202011557,1011.4004320410482,1989-11-08,LW,1990,125269.83864285715,488.1634026863976,-0.8462094793923549,-0.6289831698402674,Regional Watershed,1709.7248160460033,304125.6397110132,234.1838531494141,10.83965301513672,57.72567202011557
1990-04-01,234.993408203125,93.5815120849053,8.22611141204834,54.03505219957476,1337.4237727078732,1990-01-31,R,1990,170633.40237704918,600.9998734140298,-0.8322136138089382,-0.5435716478113262,Regional Watershed,1709.7248160460033,304125.6397110132,234.993408203125,8.22611141204834,54.03505219957476
1990-06-16,228.72576904296875,37.58815552403892,7.931285858154297,22.99793325154,1334.5062657957635,1990-04-01,HW,1990,211205.8155844156,682.67855313074,-0.7942851501315021,-0.1658751127412647,Regional Watershed,1709.7248160460033,304125.6397110132,228.72576904296875,7.931285858154297,22.99793325154
1990-09-16,228.5950164794922,22.21190690900676,7.940857887268066,16.523187432068035,1250.4614619488846,1990-06-16,F,1990,193947.48268817205,356.75979044794724,-0.7056847369314864,-0.0331898517851164,Regional Watershed,1709.7248160460033,304125.6397110132,228.5950164794922,7.940857887268066,16.523187432068035
1990-12-24,235.23265075683597,142.9060334159425,8.863408088684082,63.89988212376158,965.4021193929306,1990-09-16,LW,1990,105842.16502,307.1697555911795,-0.6612809642845859,-0.1053193610651545,Regional Watershed,1709.7248160460033,304125.6397110132,235.23265075683597,8.863408088684082,63.89988212376158
1991-04-09,230.45054626464844,45.13037117938286,8.197819709777832,20.526760039632823,1164.274376579738,1990-12-24,R,1991,166458.51476635513,941.854342961606,-0.992476568102591,-0.4957903871278485,Regional Watershed,1704.489303152995,303926.35201578785,230.45054626464844,8.197819709777832,20.526760039632823
1991-09-23,232.37664794921875,169.1398788761993,8.927762985229492,39.03634045178261,209.0019331996415,1991-07-09,F,1991,188527.85546556683,206.8832361818841,-0.7667901019639476,-0.2331330493284471,Regional Watershed,1704.489303152995,303926.35201578785,232.37664794921875,8.927762985229492,39.03634045178261
1991-12-16,233.8366241455078,213.59236229586023,10.924068450927734,30.63407684029372,938.5822128456324,1991-09-23,LW,1991,96956.10299163057,147.52961205553473,-0.7994718090805535,-0.1197725366051718,Regional Watershed,1704.489303152995,303926.35201578785,233.8366241455078,10.924068450927734,30.63407684029372
1992-03-16,235.1419677734375,204.37893503573048,10.519024848937988,39.48268606535243,639.0535037526678,1991-12-16,R,1992,115959.46845015103,526.9551228928809,-0.9905286470568796,-0.4923205783526786,Regional Watershed,1925.3623024176925,304122.9114121193,235.1419677734375,10.519024848937988,39.48268606535243
1992-06-16,232.68995666503903,47.788843904513904,8.869485855102539,26.18298954366101,1191.8973838925665,1992-03-16,HW,1992,179372.15380434785,580.1845377819966,-1.2226728804075029,-0.1421078545058117,Regional Watershed,1925.3623024176925,304122.9114121193,232.68995666503903,8.869485855102539,26.18298954366101
1992-09-16,234.5397491455078,52.453124731165865,8.847450256347656,22.530368428283904,1203.4394678567296,1992-06-16,F,1992,145260.90733333334,261.947503410996,-0.4727637814865045,-0.0226170167313952,Regional Watershed,1925.3623024176925,304122.9114121193,234.5397491455078,8.847450256347656,22.530368428283904
1992-12-16,234.3448486328125,208.28320143052684,10.83965301513672,40.6355874966359,852.8604312877341,1992-09-16,LW,1992,101140.05416104363,273.60086692580313,-0.5866349308239773,-0.0813068750434643,Regional Watershed,1925.3623024176925,304122.9114121193,234.3448486328125,10.83965301513672,40.6355874966359
1993-03-16,234.30596923828125,89.19132674183689,10.001495361328123,52.85517588732574,1061.55817848616,1992-12-16,R,1993,155917.78402675744,678.8505854102701,-0.8820973205448296,-0.4090670091691441,Regional Watershed,2086.2335455492403,303576.25207904406,234.30596923828125,10.001495361328123,52.85517588732574
1993-06-16,231.26535034179688,29.047976631629133,8.025285720825195,18.81849876847554,1401.1877576530658,1993-03-16,HW,1993,217075.35260869568,814.4931757038928,-0.9159792347243866,-0.1316592104762824,Regional Watershed,2086.2335455492403,303576.25207904406,231.26535034179688,8.025285720825195,18.81849876847554
