,Data,type,day,month,year,longitude,latitude
0,1990-01-18 01:12:00.000000000,LW_to_R,18,1,1990,-55.5131,-1.9192
1,1990-02-23 01:06:12.413793152,R_to_HW,23,2,1990,-55.5131,-1.9192
2,1990-08-06 23:15:16.770186368,HW_to_F,6,8,1990,-55.5131,-1.9192
3,1990-09-09 06:25:30.708661376,F_to_LW,9,9,1990,-55.5131,-1.9192
4,1990-12-22 21:55:51.724137856,LW_to_R,22,12,1990,-55.5131,-1.9192
5,1991-03-01 17:06:12.413793152,R_to_HW,1,3,1991,-55.5131,-1.9192
6,1991-08-10 12:34:41.927710848,HW_to_F,10,8,1991,-55.5131,-1.9192
7,1991-09-10 14:56:36.226415104,F_to_LW,10,9,1991,-55.5131,-1.9192
8,1992-02-19 20:24:00.000000000,LW_to_R,19,2,1992,-55.5131,-1.9192
9,1992-04-01 22:30:00.000000000,R_to_HW,1,4,1992,-55.5131,-1.9192
10,1992-05-22 08:32:00.000000000,HW_to_F,22,5,1992,-55.5131,-1.9192
11,1992-07-28 14:05:30.275229312,F_to_LW,28,7,1992,-55.5131,-1.9192
12,1992-12-24 08:14:27.469879424,LW_to_R,24,12,1992,-55.5131,-1.9192
13,1993-02-14 08:35:13.761467904,R_to_HW,14,2,1993,-55.5131,-1.9192
14,1993-08-05 18:48:53.333333248,HW_to_F,5,8,1993,-55.5131,-1.9192
15,1993-09-12 04:24:08.520710144,F_to_LW,12,9,1993,-55.5131,-1.9192
16,1993-11-29 11:44:27.625899392,LW_to_R,29,11,1993,-55.5131,-1.9192
17,1994-01-15 11:44:20.869565184,R_to_HW,15,1,1994,-55.5131,-1.9192
18,1994-08-25 12:00:00.000000000,HW_to_F,25,8,1994,-55.5131,-1.9192
19,1994-10-01 00:00:00.000000000,F_to_LW,1,10,1994,-55.5131,-1.9192
20,1994-12-26 02:00:54.961832064,LW_to_R,26,12,1994,-55.5131,-1.9192
21,1995-03-26 10:14:49.887640448,R_to_HW,26,3,1995,-55.5131,-1.9192
22,1995-07-20 10:34:34.576271232,HW_to_F,20,7,1995,-55.5131,-1.9192
23,1995-08-17 10:46:31.836734720,F_to_LW,17,8,1995,-55.5131,-1.9192
24,1995-12-31 18:36:31.304347776,LW_to_R,31,12,1995,-55.5131,-1.9192
25,1996-02-17 19:14:17.142857216,R_to_HW,17,2,1996,-55.5131,-1.9192
26,1996-08-09 14:54:40.473372800,HW_to_F,9,8,1996,-55.5131,-1.9192
27,1996-09-11 22:25:47.663551360,F_to_LW,11,9,1996,-55.5131,-1.9192
28,1996-12-29 02:47:26.511627904,LW_to_R,29,12,1996,-55.5131,-1.9192
29,1997-02-21 10:51:07.826086912,R_to_HW,21,2,1997,-55.5131,-1.9192
30,1997-07-30 19:36:10.992366464,HW_to_F,30,7,1997,-55.5131,-1.9192
31,1997-08-24 06:00:00.000000000,F_to_LW,24,8,1997,-55.5131,-1.9192
32,1998-02-08 14:40:46.601941760,LW_to_R,8,2,1998,-55.5131,-1.9192
33,1998-04-10 21:04:23.414634112,R_to_HW,10,4,1998,-55.5131,-1.9192
34,1998-07-24 12:07:54.725274752,HW_to_F,24,7,1998,-55.5131,-1.9192
35,1998-08-25 15:12:51.428571392,F_to_LW,25,8,1998,-55.5131,-1.9192
36,1999-01-07 04:48:00.000000000,LW_to_R,7,1,1999,-55.5131,-1.9192
37,1999-02-13 10:40:00.000000000,R_to_HW,13,2,1999,-55.5131,-1.9192
38,1999-08-26 11:08:34.285714304,HW_to_F,26,8,1999,-55.5131,-1.9192
39,1999-09-20 23:05:14.828897280,F_to_LW,20,9,1999,-55.5131,-1.9192
40,2000-01-13 10:43:38.181818240,LW_to_R,13,1,2000,-55.5131,-1.9192
41,2000-02-29 18:17:42.295081984,R_to_HW,29,2,2000,-55.5131,-1.9192
42,2000-08-24 20:45:42.857142784,HW_to_F,24,8,2000,-55.5131,-1.9192
43,2000-09-28 10:23:44.598930432,F_to_LW,28,9,2000,-55.5131,-1.9192
44,2001-01-05 16:27:54.418604672,LW_to_R,5,1,2001,-55.5131,-1.9192
45,2001-02-14 03:32:52.173913088,R_to_HW,14,2,2001,-55.5131,-1.9192
46,2001-08-05 00:08:05.393258496,HW_to_F,5,8,2001,-55.5131,-1.9192
47,2001-09-07 08:06:45.633802752,F_to_LW,7,9,2001,-55.5131,-1.9192
48,2001-12-27 03:51:48.292683008,LW_to_R,27,12,2001,-55.5131,-1.9192
49,2002-02-26 08:00:00.000000000,R_to_HW,26,2,2002,-55.5131,-1.9192
50,2002-08-19 03:22:40.000000000,HW_to_F,19,8,2002,-55.5131,-1.9192
51,2002-09-18 22:12:26.887966848,F_to_LW,18,9,2002,-55.5131,-1.9192
52,2002-12-31 02:07:03.529411712,LW_to_R,31,12,2002,-55.5131,-1.9192
53,2003-03-14 15:37:58.899082624,R_to_HW,14,3,2003,-55.5131,-1.9192
54,2003-08-12 19:25:42.857142784,HW_to_F,12,8,2003,-55.5131,-1.9192
55,2003-09-18 02:28:02.242990592,F_to_LW,18,9,2003,-55.5131,-1.9192
56,2004-01-12 02:48:49.655172352,LW_to_R,12,1,2004,-55.5131,-1.9192
57,2004-03-08 10:15:00.000000000,R_to_HW,8,3,2004,-55.5131,-1.9192
58,2004-07-19 10:22:42.162162048,HW_to_F,19,7,2004,-55.5131,-1.9192
59,2004-09-10 04:00:00.000000000,F_to_LW,10,9,2004,-55.5131,-1.9192
60,2005-01-08 02:18:47.710843392,LW_to_R,8,1,2005,-55.5131,-1.9192
61,2005-02-24 12:08:53.333333376,R_to_HW,24,2,2005,-55.5131,-1.9192
62,2005-07-13 09:36:00.000000000,HW_to_F,13,7,2005,-55.5131,-1.9192
63,2005-08-12 17:26:17.528089856,F_to_LW,12,8,2005,-55.5131,-1.9192
64,2005-12-23 22:38:38.644067840,LW_to_R,23,12,2005,-55.5131,-1.9192
65,2006-02-02 13:37:55.200000000,R_to_HW,2,2,2006,-55.5131,-1.9192
66,2006-08-03 00:56:50.526315776,HW_to_F,3,8,2006,-55.5131,-1.9192
67,2006-08-30 05:34:44.210526208,F_to_LW,30,8,2006,-55.5131,-1.9192
68,2006-12-23 04:12:15.766423296,LW_to_R,23,12,2006,-55.5131,-1.9192
69,2007-02-24 15:00:00.000000000,R_to_HW,24,2,2007,-55.5131,-1.9192
70,2007-08-06 12:43:56.619718144,HW_to_F,6,8,2007,-55.5131,-1.9192
71,2007-09-04 10:56:57.511520768,F_to_LW,4,9,2007,-55.5131,-1.9192
72,2007-12-19 16:18:27.692307712,LW_to_R,19,12,2007,-55.5131,-1.9192
73,2008-01-30 07:13:58.356164352,R_to_HW,30,1,2008,-55.5131,-1.9192
74,2008-08-07 16:57:41.538461440,HW_to_F,7,8,2008,-55.5131,-1.9192
75,2008-09-06 19:28:35.183246080,F_to_LW,6,9,2008,-55.5131,-1.9192
76,2008-12-11 20:52:59.220779264,LW_to_R,11,12,2008,-55.5131,-1.9192
77,2009-01-21 22:42:09.729729792,R_to_HW,21,1,2009,-55.5131,-1.9192
78,2009-08-29 16:05:32.947976960,HW_to_F,29,8,2009,-55.5131,-1.9192
79,2009-09-19 22:51:53.513513728,F_to_LW,19,9,2009,-55.5131,-1.9192
80,2010-01-02 12:53:33.223140352,LW_to_R,2,1,2010,-55.5131,-1.9192
81,2010-03-07 11:53:08.571428352,R_to_HW,7,3,2010,-55.5131,-1.9192
82,2010-07-24 08:57:08.571428608,HW_to_F,24,7,2010,-55.5131,-1.9192
83,2010-08-20 02:53:25.839416064,F_to_LW,20,8,2010,-55.5131,-1.9192
84,2011-01-17 15:57:13.526011648,LW_to_R,17,1,2011,-55.5131,-1.9192
85,2011-02-23 13:12:28.993288448,R_to_HW,23,2,2011,-55.5131,-1.9192
86,2011-08-07 03:02:08.063241216,HW_to_F,7,8,2011,-55.5131,-1.9192
87,2011-08-31 15:10:40.316205568,F_to_LW,31,8,2011,-55.5131,-1.9192
88,2011-12-26 14:05:42.857142784,LW_to_R,26,12,2011,-55.5131,-1.9192
89,2012-01-26 21:14:24.000000000,R_to_HW,26,1,2012,-55.5131,-1.9192
90,2012-08-11 01:48:00.000000000,HW_to_F,11,8,2012,-55.5131,-1.9192
91,2012-09-05 08:49:39.310344704,F_to_LW,5,9,2012,-55.5131,-1.9192
92,2013-01-08 21:00:58.378378496,LW_to_R,8,1,2013,-55.5131,-1.9192
93,2013-02-12 01:22:32.866242048,R_to_HW,12,2,2013,-55.5131,-1.9192
94,2013-08-20 19:00:55.384615424,HW_to_F,20,8,2013,-55.5131,-1.9192
95,2013-09-24 21:45:00.000000000,F_to_LW,24,9,2013,-55.5131,-1.9192
96,2013-12-05 14:13:20.000000000,LW_to_R,5,12,2013,-55.5131,-1.9192
97,2014-02-02 01:27:16.363636480,R_to_HW,2,2,2014,-55.5131,-1.9192
98,2014-09-02 08:00:00.000000000,HW_to_F,2,9,2014,-55.5131,-1.9192
99,2014-09-29 00:00:00.000000000,LW_to_R,29,9,2014,-55.5131,-1.9192
100,2015-02-10 08:00:00.000000000,R_to_HW,10,2,2015,-55.5131,-1.9192
101,2015-09-02 11:46:35.031055872,HW_to_F,2,9,2015,-55.5131,-1.9192
102,2015-09-21 02:58:52.919254528,LW_to_R,21,9,2015,-55.5131,-1.9192
103,2016-04-02 08:14:19.701492480,R_to_HW,2,4,2016,-55.5131,-1.9192
104,2016-07-20 23:41:03.157894656,HW_to_F,20,7,2016,-55.5131,-1.9192
105,2016-09-02 10:36:55.384615168,LW_to_R,2,9,2016,-55.5131,-1.9192
106,2017-02-01 20:31:08.702290176,R_to_HW,1,2,2017,-55.5131,-1.9192
107,2017-08-03 19:22:52.075471872,HW_to_F,3,8,2017,-55.5131,-1.9192
108,2017-08-27 04:53:26.037735936,LW_to_R,27,8,2017,-55.5131,-1.9192
109,2018-02-17 19:12:00.000000000,R_to_HW,17,2,2018,-55.5131,-1.9192
110,2018-08-15 00:42:02.627737344,HW_to_F,15,8,2018,-55.5131,-1.9192
111,2018-09-16 07:20:48.979591680,LW_to_R,16,9,2018,-55.5131,-1.9192
112,2019-01-23 22:50:46.153846272,R_to_HW,23,1,2019,-55.5131,-1.9192
113,2019-08-22 14:24:00.000000000,HW_to_F,22,8,2019,-55.5131,-1.9192
114,2019-09-18 03:02:41.194029824,LW_to_R,18,9,2019,-55.5131,-1.9192
115,2020-02-07 14:10:54.545454592,R_to_HW,7,2,2020,-55.5131,-1.9192
116,2020-08-08 07:40:00.000000000,HW_to_F,8,8,2020,-55.5131,-1.9192
117,2020-09-04 21:40:49.070631936,LW_to_R,4,9,2020,-55.5131,-1.9192
118,2021-01-27 13:04:40.239520768,R_to_HW,27,1,2021,-55.5131,-1.9192
119,2021-08-30 14:24:00.000000000,HW_to_F,30,8,2021,-55.5131,-1.9192
120,2021-09-26 14:52:02.123893760,LW_to_R,26,9,2021,-55.5131,-1.9192
121,2022-01-01 00:00:00.000000000,R_to_HW,1,1,2022,-55.5131,-1.9192
122,2022-08-24 16:23:51.055900672,HW_to_F,24,8,2022,-55.5131,-1.9192
123,2022-09-16 15:02:53.633440512,LW_to_R,16,9,2022,-55.5131,-1.9192
124,2023-02-15 08:43:38.181818112,R_to_HW,15,2,2023,-55.5131,-1.9192
125,2023-08-01 20:06:29.189189120,HW_to_F,1,8,2023,-55.5131,-1.9192
126,2023-08-25 18:37:31.737451520,LW_to_R,25,8,2023,-55.5131,-1.9192
127,2024-03-25 23:32:02.330097152,R_to_HW,25,3,2024,-55.5131,-1.9192
128,2024-04-06 10:42:51.428571648,HW_to_F,6,4,2024,-55.5131,-1.9192
129,2024-05-30 21:51:25.714285824,F_to_L,30,5,2024,-55.5131,-1.9192
